Generation number,Total number of allele,Diversity,Activity,Time,Fertility rate,2 DSB on one site rate,No DSB rate,No symmetrical sites (binding + DSB) rate,,"0,806233774999999"
5650,1,"0,999","0,47752","0,933235","0,875657","0,0683012","0,00394046","0,0521016",,
5660,1,"0,999","0,470735","0,94953","0,865426","0,0774556","0,00216357","0,0549546",,
5670,1,"0,999","0,463876","0,906901","0,885347","0,0584329","0,00309872","0,0531208",,
5680,1,"0,999","0,456307","0,931534","0,850702","0,0880476","0,00382816","0,0574224",,
5690,1,"0,999","0,446708","0,890371","0,869187","0,0708388","0,00217297","0,057801",,
5700,1,"0,999","0,438687","0,88121","0,856898","0,0771208","0,0017138","0,0642674",,
5710,1,"0,999","0,429253","0,866123","0,854336","0,0824434","0,00170867","0,0615122",,
5720,1,"0,999","0,420324","0,862093","0,83612","0,0953177","0,00167224","0,0668896",,
5730,1,"0,999","0,410908","0,865691","0,83022","0,0963055","0,00207555","0,0713989",,
5740,1,"0,999","0,403173","0,833738","0,835422","0,0969089","0,00292398","0,0647452",,
5750,1,"0,999","0,395141","0,824731","0,831947","0,0869384","0,000831947","0,0802829",,
5760,1,"0,999","0,386273","0,814743","0,83022","0,0938149","0,00166044","0,0743047",,
5770,1,"0,999","0,377751","0,805771","0,832986","0,0907955","0,00374844","0,0724698",,
5780,1,"0,999","0,369545","0,807887","0,809389","0,107649","0,00121408","0,0817483",,
5790,1,"0,999","0,358452","0,789088","0,816327","0,101224","0,00122449","0,0812245",,
5800,1,"0,999","0,349342","0,791022","0,802246","0,10349","0,00441235","0,0898516",,
5810,1,"0,999","0,340668","0,78462","0,795545","0,114161","0,00278441","0,0875099",,
5820,1,"0,999","0,332638","0,778319","0,79713","0,1112","0,00278996","0,08888",,
5830,1,"0,999","0,325441","0,758149","0,80032","0,10044","0,00240096","0,0968387",,
5840,1,"0,999","0,314669","0,758129","0,776096","0,137757","0,00271634","0,0834303",,
5850,1,"0,999","0,306382","0,749029","0,777907","0,1338","0,00194477","0,0863477",,
5860,1,"0,999","0,297871","0,722338","0,781555","0,12583","0,00312622","0,0894881",,
5870,1,"0,999","0,288946","0,714226","0,776096","0,131548","0,00116414","0,0911913",,
5880,1,"0,999","0,28029","0,712692","0,76864","0,133743","0,00307456","0,0945427",,
5890,1,"0,999","0,274447","0,708956","0,760456","0,137262","0,0026616","0,0996198",,
5900,1,"0,999","0,267491","0,690396","0,764818","0,140344","0,00344168","0,0913958",,
5910,1,"0,999","0,259186","0,676929","0,761325","0,142368","0,0030453","0,0932623",,
5920,1,"0,999","0,251329","0,69063","0,731797","0,16502","0,00219539","0,100988",,
5930,1,"0,999","0,244313","0,681054","0,725163","0,166788","0,00217549","0,105874",,
5940,1,"0,999","0,237029","0,654785","0,735024","0,163175","0,000735024","0,101066",,
5950,1,"0,999","0,228921","0,659288","0,724638","0,175","0,00217391","0,0981884",,
5960,1,"0,999","0,221991","0,651933","0,729927","0,170073","0,00182482","0,0981752",,
5970,1,"0,999","0,215654","0,651686","0,717103","0,178917","0,00250986","0,10147",,
5980,1,"0,999","0,209023","0,65844","0,699301","0,197203","0,00104895","0,102448",,
5990,1,"0,999","0,202174","0,661394","0,684932","0,205822","0,00205479","0,107192",,
6000,1,"0,999","0,195964","0,636807","0,688942","0,202549","0,00103341","0,107475",,
6010,1,"0,999","0,189056","0,640603","0,679579","0,212708","0,00169895","0,106014",,
6020,1,"0,999","0,182898","0,636711","0,678426","0,223202","0,00135685","0,0970149",,
6030,1,"0,999","0,176472","0,644909","0,649773","0,240416","0,00259909","0,107212",,
6040,1,"0,999","0,170199","0,640174","0,64041","0,245277","0,000960615","0,113353",,
6050,1,"0,999","0,165614","0,635214","0,63674","0,240051","0,00063674","0,122572",,
6060,1,"0,999","0,160155","0,642937","0,621891","0,259017","0,00124378","0,117848",,
6070,1,"0,999","0,153748","0,653617","0,60241","0,267771","0,00060241","0,129217",,
6080,1,"0,999","0,147774","0,65229","0,589971","0,269027","0,00147493","0,139528",,
6090,1,"0,999","0,141781","0,658819","0,572574","0,279702","0,00171772","0,146006",,
6100,1,"0,999","0,135055","0,690056","0,533618","0,299626","0,00186766","0,164888",,
6110,1,"0,999","0,128693","0,703598","0,512164","0,313188","0,00128041","0,173367",,
6120,1,"0,999","0,122055","0,688918","0,509814","0,312261","0,00152944","0,176396",,
6130,2,1,"0,116624","0,712368","0,483559","0,337282","0,0012089","0,17795",,
6140,1,"0,999","0,111209","0,715776","0,474158","0,348506","0,000474158","0,176861",,
6150,1,"0,999","0,105797","0,734651","0,450653","0,358269","0,00202794","0,189049",,
6160,1,"0,999","0,100493","0,756129","0,424719","0,393289","0,0010618","0,18093",,
6170,1,"0,999","0,0967446","0,781236","0,41425","0,414664","0,00041425","0,170671",,
6180,1,"0,999","0,091542","0,835021","0,400721","0,434983","0,00120216","0,163094",,
6190,1,"0,999","0,0882166","0,789219","0,395491","0,448685","0,00118647","0,154637",,
6200,1,"0,999","0,0841246","0,836134","0,358551","0,489064",0,"0,152384",,
6210,1,"0,999","0,0803064","0,870852","0,342759","0,505913","0,000514139","0,150814",,
6220,1,"0,999","0,0771286","0,909382","0,321388","0,530291","0,000321388","0,147999",,
6230,1,"0,999","0,0732666","0,999904","0,285592","0,562045","0,000571184","0,151792",,
6240,1,"0,999","0,0703702","1,03911","0,270856","0,586268","0,000270856","0,142606",,
6250,1,"0,999","0,0688819","1,07039","0,260824","0,604721","0,000391236","0,134064",,
6260,1,"0,999","0,0659467","1,14263","0,238407","0,628084","0,000238407","0,13327",,
6270,1,"0,999","0,0641121","1,24201","0,21913","0,65498","0,000328695","0,125562",,
6280,1,"0,999","0,0639982","1,22802","0,219635","0,65078","0,000219635","0,129365",,
6290,1,"0,999","0,0622086","1,30913","0,202943","0,674886","0,000202943","0,121969",,
6300,1,"0,999","0,0618459","1,32798","0,200682","0,672687","0,000401365","0,126229",,
6310,1,"0,999","0,0621523","1,35996","0,194647","0,676983","0,000291971","0,128078",,
6320,1,"0,999","0,0611606","1,43949","0,184963","0,695274","9,24813E-05","0,119671",,
6330,1,"0,999","0,060025","1,46162","0,178715","0,696721","8,93575E-05","0,124475",,
6340,1,"0,999","0,0593647","1,63236","0,157456","0,715872","0,000236183","0,126437",,
6350,1,"0,999","0,0588544","1,57374","0,163185","0,702676","0,000163185","0,133975",,
6360,1,"0,999","0,0583542","1,68491","0,150342","0,714801","0,000225513","0,134631",,
6370,1,"0,999","0,0587944","1,7039","0,1523","0,708194","0,00022845","0,139278",,
6380,1,"0,999","0,0588419","1,72698","0,147016","0,715451","0,000220523","0,137313",,
6390,1,"0,999","0,0585605","1,73574","0,146445","0,710771","0,000219668","0,142564",,
6400,1,"0,999","0,0590395","1,75367","0,146028","0,706557","0,000219042","0,147196",,
6410,1,"0,999","0,0599837","1,74889","0,146145","0,69989",0,"0,153964",,
6420,1,"0,999","0,0599525","2,17207","0,142562","0,703614","0,000142562","0,153682",,
6430,1,"0,999","0,0595798","1,76686","0,144446","0,702008","7,2223E-05","0,153474",,
6440,1,"0,999","0,059067","1,84516","0,137684","0,705218",0,"0,157098",,
6450,1,"0,999","0,0589707","1,92212","0,132371","0,715137",0,"0,152492",,
6460,1,"0,999","0,0590158","1,85406","0,137325","0,6961",0,"0,166575",,
6470,1,"0,999","0,0596498","1,89252","0,134291","0,698046","0,000335728","0,167327",,
6480,2,"1,84202","0,392184","1,68962","0,298418","0,574903","0,000596837","0,126082",,
6490,2,"1,20291","0,91097","1,54498","0,942951","0,0466761","0,00141443","0,00895804",,
6500,2,"1,10277","0,951579","1,56075","0,93985","0,049812","0,00234962","0,00798872",,
6510,2,"1,06604","0,966262","1,56981","0,94518","0,0406427","0,00378072","0,010397",,
6520,2,"1,01308","0,989422","1,55965","0,951022","0,0366144","0,00190204","0,0104612",,
6530,2,"1,00602","0,991831","1,5686","0,943841","0,0424729","0,00566305","0,00802265",,
6540,2,1,"0,993345","1,55999","0,948767","0,040797","0,00142315","0,00901328",,
6550,1,"0,999","0,993269","1,55683","0,951928","0,0333175","0,00285578","0,0118991",,
6560,1,"0,999","0,991581","1,56429","0,95511","0,0348615","0,00286533","0,00716332",,
6570,1,"0,999","0,98999","1,5454","0,944733","0,0415683","0,00236183","0,0113368",,
6580,1,"0,999","0,989122","1,54169","0,952835","0,0362077","0,000952835","0,0100048",,
6590,1,"0,999","0,987145","1,55707","0,946074","0,0421003","0,00283822","0,0089877",,
6600,1,"0,999","0,985977","1,53893","0,954198","0,0357824","0,0023855","0,00763359",,
6610,1,"0,999","0,983696","1,54453","0,940734","0,0428034","0,0042333","0,0122295",,
6620,1,"0,999","0,98198","1,54754","0,950119","0,0408551","0,00142518","0,00760095",,
6630,1,"0,999","0,980582","1,66556","0,938527","0,0502112","0,00234632","0,008916",,
6640,1,"0,999","0,978704","1,55706","0,95057","0,0394487","0,00237643","0,00760456",,
6650,1,"0,999","0,977241","1,54295","0,946074","0,038789","0,00236518","0,012772",,
6660,1,"0,999","0,97549","1,53229","0,956023","0,0368069","0,000478011","0,00669216",,
6670,1,"0,999","0,973858","1,55718","0,940734","0,0446849","0,0014111","0,0131703",,
6680,1,"0,999","0,971843","1,55954","0,93633","0,0580524","0,00093633","0,00468165",,
6690,1,"0,999","0,970384","1,54497","0,953289","0,0343184","0,00285987","0,00953289",,
6700,1,"0,999","0,968559","1,53519","0,94518","0,0434783","0,00189036","0,0094518",,
6710,1,"0,999","0,966094","1,53065","0,953743","0,0362423","0,00190749","0,00810682",,
6720,1,"0,999","0,963339","1,53133","0,93633","0,05103","0,00234082","0,0102996",,
6730,1,"0,999","0,961618","1,51667","0,942063","0,0456901","0,00471032","0,0075365",,
6740,1,"0,999","0,959867","1,54007","0,941176","0,0465882","0,00235294","0,00988235",,
6750,1,"0,999","0,957472","1,53589","0,945626","0,043026","0,00141844","0,00992908",,
6760,1,"0,999","0,955286","1,54552","0,943396","0,0429245","0,00330189","0,0103774",,
6770,1,"0,999","0,953709","1,52812","0,94162","0,049435","0,00188324","0,00706215",,
6780,1,"0,999","0,951856","1,52005","0,943396","0,0466981","0,00235849","0,00754717",,
6790,1,"0,999","0,949261","1,52861","0,948317","0,0407776","0,00284495","0,00806069",,
6800,1,"0,999","0,946651","1,4954","0,955566","0,0353559","0,0028667","0,00621118",,
