Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
7010	5	3.74863	0.881598	2.20328	0.940291	0.0296192	0.00282087	0.0272685	0.00640018
7020	6	4.32549	0.884344	2.28143	0.934143	0.0359645	0.000934143	0.0289584	0.00639818
7030	5	4.45109	0.883603	2.18965	0.941176	0.0296471	0.00470588	0.0244706	0.00628245
7040	5	4.09733	0.884172	2.1529	0.95511	0.0219675	0.00191022	0.0210124	0.0065092
7050	7	4.07118	0.884553	2.12752	0.948317	0.0222854	0.00379327	0.0256046	0.0064654
7060	10	4.21884	0.886288	2.26357	0.947418	0.0270014	0.00426338	0.0213169	0.00632937
7070	8	4.1029	0.894419	2.23056	0.948317	0.027027	0.00331911	0.0213371	0.00631983
7080	9	4.4437	0.893801	2.28885	0.947867	0.0260664	0	0.0260664	0.00630265
7090	9	4.65664	0.902988	2.47492	0.94518	0.0302457	0.00141777	0.0231569	0.00626187
7100	10	4.85667	0.897732	2.18563	0.94162	0.0324859	0.00282486	0.0230697	0.00635145
7110	9	5.07318	0.897402	2.36506	0.946522	0.0250828	0.000473261	0.0279224	0.00614871
7120	8	4.73742	0.898317	2.42781	0.947418	0.0274751	0.000947418	0.0241592	0.00614342
7130	8	5.23124	0.897755	2.32024	0.941176	0.0310588	0.00141176	0.0263529	0.0063367
7140	8	5.2146	0.905003	2.33687	0.946522	0.0340748	0.0023663	0.0170374	0.00623992
7150	9	5.40892	0.904106	2.17847	0.95648	0.0253467	0.00191296	0.0162602	0.00614682
7160	8	5.42708	0.904258	2.31938	0.95057	0.0218631	0.00237643	0.0251901	0.00616336
7170	7	4.96205	0.898753	2.27314	0.947418	0.026054	0.00189484	0.0246329	0.00618606
7180	8	4.6373	0.898001	2.39915	0.941176	0.0324706	0.00329412	0.0230588	0.0063958
7190	8	4.61438	0.896097	2.34972	0.950119	0.0251781	0.00427553	0.0204276	0.0062524
7200	8	4.51602	0.896683	2.28335	0.937207	0.0384255	0.00281162	0.0215558	0.00625768
7210	8	4.41449	0.903394	2.23153	0.94518	0.0326087	0.00236295	0.0198488	0.00638337
7220	8	4.51323	0.900394	2.14007	0.952835	0.0309671	0.00238209	0.0138161	0.00640307
7230	8	4.4054	0.909299	2.26918	0.95648	0.0215208	0.00191296	0.0200861	0.00634281
7240	8	4.34221	0.912788	2.28114	0.939408	0.0310005	0.00187882	0.0277125	0.00636086
7250	7	4.67894	0.913939	2.26533	0.951928	0.0237982	0.00285578	0.0214184	0.00621276
7260	8	4.4895	0.914918	2.26678	0.955566	0.0248447	0.00143335	0.0181558	0.00627926
7270	8	4.45983	0.9117	2.31941	0.93985	0.0300752	0.00140977	0.0286654	0.00625458
7280	7	4.49912	0.916019	2.43507	0.936768	0.0370023	0.00327869	0.0229508	0.00640314
7290	9	4.30033	0.919389	2.50768	0.947867	0.0260664	0.0028436	0.0232227	0.00622944
7300	8	4.28626	0.921136	2.3445	0.943396	0.0311321	0.00424528	0.0212264	0.00629604
7310	7	4.19109	0.920137	2.34309	0.938967	0.0338028	0.00234742	0.0248826	0.0064194
7320	6	4.02505	0.92263	2.1866	0.944733	0.0302315	0.0014171	0.0236183	0.00637937
7330	7	4.10551	0.926198	2.3634	0.942063	0.030146	0.00141309	0.0263778	0.00643403
7340	7	3.61585	0.930751	2.29966	0.946074	0.025544	0.00473037	0.0236518	0.00641392
7350	7	3.44873	0.934272	2.24992	0.943841	0.0353941	0.0023596	0.0184049	0.00662925
7360	7	3.28968	0.932364	2.48841	0.94697	0.0260417	0.00378788	0.0232008	0.00660395
