Generation number,Allele number,Frequency,Activity,,Mean Activity
110,58,"0,0585293","0,99299",,"0,966932851066877"
110,86,"0,0270135","0,994009",,"0,966932851066877"
110,111,"0,06003","0,993138",,"0,966932851066877"
110,147,"0,00050025","0,995076",,"0,966932851066877"
110,156,"0,0070035","0,996046",,"0,966932851066877"
110,163,"0,00450225","0,996523",,"0,966932851066877"
110,173,"0,006003","0,996936",,"0,966932851066877"
110,214,"0,00250125","0,999534",,"0,966932851066877"
110,215,"0,00550275","0,999625",,"0,966932851066877"
110,216,"0,00050025","0,999631",,"0,966932851066877"
110,217,"0,0010005","0,999713",,"0,966932851066877"
120,-3,0,"0,988646",,"0,966932851066877"
120,0,"0,709855","0,985465",,"0,966932851066877"
120,1,"0,0215108","0,989776",,"0,966932851066877"
120,17,"0,0210105","0,988884",,"0,966932851066877"
120,25,"0,018009","0,990439",,"0,966932851066877"
120,58,"0,084042","0,99253",,"0,966932851066877"
120,86,"0,034017","0,992964",,"0,966932851066877"
120,111,"0,0515258","0,991978",,"0,966932851066877"
120,156,"0,012006","0,995206",,"0,966932851066877"
120,173,"0,00750375","0,995733",,"0,966932851066877"
120,215,"0,0225113","0,998761",,"0,966932851066877"
120,216,"0,00250125","0,998728",,"0,966932851066877"
120,226,"0,004002","0,999271",,"0,966932851066877"
120,229,"0,0030015","0,999404",,"0,966932851066877"
120,231,"0,00450225","0,999501",,"0,966932851066877"
120,232,"0,0010005","0,999423",,"0,966932851066877"
120,233,"0,00050025","0,999674",,"0,966932851066877"
120,235,"0,00050025","0,99989",,"0,966932851066877"
120,237,"0,00150075",1,,"0,966932851066877"
120,238,"0,00050025",1,,"0,966932851066877"
130,-3,0,"0,987881",,"0,966932851066877"
130,0,"0,649325","0,984384",,"0,966932851066877"
130,1,"0,0185093","0,989364",,"0,966932851066877"
130,17,"0,0390195","0,987891",,"0,966932851066877"
130,25,"0,0245123","0,989364",,"0,966932851066877"
130,58,"0,0755378","0,99166",,"0,966932851066877"
130,86,"0,0355178","0,992315",,"0,966932851066877"
130,111,"0,078039","0,990505",,"0,966932851066877"
130,156,"0,0125063","0,994543",,"0,966932851066877"
130,173,"0,00350175","0,994783",,"0,966932851066877"
130,215,"0,0190095","0,99781",,"0,966932851066877"
130,226,"0,00950475","0,998173",,"0,966932851066877"
130,229,"0,00050025","0,99865",,"0,966932851066877"
130,231,"0,010005","0,998573",,"0,966932851066877"
130,232,"0,0010005","0,998523",,"0,966932851066877"
130,235,"0,0110055","0,998773",,"0,966932851066877"
130,237,"0,0030015","0,998828",,"0,966932851066877"
130,242,"0,00050025","0,999511",,"0,966932851066877"
130,249,"0,00050025","0,999688",,"0,966932851066877"
130,250,"0,004002","0,99977",,"0,966932851066877"
130,253,"0,0010005","0,999884",,"0,966932851066877"
130,254,"0,0010005",1,,"0,966932851066877"
130,255,"0,0010005",1,,"0,966932851066877"
130,256,"0,00050025",1,,"0,966932851066877"
130,257,"0,0010005",1,,"0,966932851066877"
140,-3,0,"0,987594",,"0,966932851066877"
140,0,"0,653327","0,982984",,"0,966932851066877"
140,1,"0,0150075","0,987983",,"0,966932851066877"
140,17,"0,038019","0,986993",,"0,966932851066877"
140,25,"0,0115058","0,988319",,"0,966932851066877"
140,58,"0,064032","0,990675",,"0,966932851066877"
140,86,"0,0165083","0,991961",,"0,966932851066877"
140,111,"0,0755378","0,989741",,"0,966932851066877"
140,156,"0,0325163","0,993781",,"0,966932851066877"
140,173,"0,0135068","0,993886",,"0,966932851066877"
140,215,"0,0345173","0,996985",,"0,966932851066877"
140,226,"0,00950475","0,997471",,"0,966932851066877"
140,229,"0,0010005","0,99783",,"0,966932851066877"
140,231,"0,00450225","0,997636",,"0,966932851066877"
140,232,"0,0010005","0,997644",,"0,966932851066877"
140,235,"0,018009","0,997785",,"0,966932851066877"
140,250,"0,00350175","0,998736",,"0,966932851066877"
140,257,"0,00050025","0,999003",,"0,966932851066877"
140,261,"0,00150075","0,999111",,"0,966932851066877"
140,270,"0,00050025","0,999648",,"0,966932851066877"
140,272,"0,00150075","0,999594",,"0,966932851066877"
140,275,"0,00150075","0,999766",,"0,966932851066877"
140,277,"0,0010005","0,999891",,"0,966932851066877"
140,279,0,1,,"0,966932851066877"
140,281,"0,00150075",1,,"0,966932851066877"
150,-3,0,"0,986365",,"0,966932851066877"
150,0,"0,671336","0,9815",,"0,966932851066877"
150,1,"0,0125063","0,986813",,"0,966932851066877"
150,17,"0,0595298","0,985904",,"0,966932851066877"
150,25,"0,00250125","0,98757",,"0,966932851066877"
150,58,"0,072036","0,989942",,"0,966932851066877"
150,86,"0,0195098","0,991373",,"0,966932851066877"
150,111,"0,0615308","0,989121",,"0,966932851066877"
150,156,"0,0185093","0,992358",,"0,966932851066877"
150,173,"0,0115058","0,992754",,"0,966932851066877"
150,215,"0,0175088","0,99606",,"0,966932851066877"
150,226,"0,012006","0,996435",,"0,966932851066877"
150,229,"0,00050025","0,996726",,"0,966932851066877"
150,235,"0,0250125","0,996761",,"0,966932851066877"
150,250,"0,00050025","0,997753",,"0,966932851066877"
150,281,"0,00450225","0,998966",,"0,966932851066877"
150,285,"0,0030015","0,999284",,"0,966932851066877"
150,286,"0,00450225","0,999399",,"0,966932851066877"
150,287,"0,00050025","0,999586",,"0,966932851066877"
150,289,"0,00050025","0,999755",,"0,966932851066877"
150,291,"0,00250125","0,999755",,"0,966932851066877"
160,-3,0,"0,986104",,"0,966932851066877"
160,0,"0,678339","0,980212",,"0,966932851066877"
160,1,"0,0190095","0,98503",,"0,966932851066877"
160,17,"0,070035","0,985494",,"0,966932851066877"
160,25,"0,00250125","0,986475",,"0,966932851066877"
160,58,"0,04002","0,989533",,"0,966932851066877"
160,86,"0,0285143","0,990416",,"0,966932851066877"
160,111,"0,046023","0,988068",,"0,966932851066877"
160,156,"0,0205103","0,99112",,"0,966932851066877"
160,173,"0,0090045","0,991526",,"0,966932851066877"
160,215,"0,0150075","0,994873",,"0,966932851066877"
160,229,"0,0090045","0,995673",,"0,966932851066877"
160,235,"0,0175088","0,995435",,"0,966932851066877"
160,281,"0,002001","0,997994",,"0,966932851066877"
160,285,"0,0050025","0,998284",,"0,966932851066877"
160,286,"0,016008","0,998434",,"0,966932851066877"
160,287,"0,0050025","0,998608",,"0,966932851066877"
160,291,"0,0010005","0,998609",,"0,966932851066877"
160,297,"0,002001","0,999223",,"0,966932851066877"
160,300,"0,00150075","0,999305",,"0,966932851066877"
160,303,"0,00050025","0,999488",,"0,966932851066877"
160,310,"0,00350175","0,999684",,"0,966932851066877"
160,314,"0,00450225","0,999765",,"0,966932851066877"
160,317,"0,00050025","0,9999",,"0,966932851066877"
160,318,"0,00250125","0,999919",,"0,966932851066877"
160,319,"0,00050025",1,,"0,966932851066877"
170,-3,0,"0,985053",,"0,966932851066877"
170,0,"0,618309","0,978939",,"0,966932851066877"
170,1,"0,00550275","0,984713",,"0,966932851066877"
170,17,"0,12006","0,984464",,"0,966932851066877"
170,25,"0,00050025","0,986253",,"0,966932851066877"
170,58,"0,0450225","0,988751",,"0,966932851066877"
170,86,"0,0390195","0,989816",,"0,966932851066877"
170,111,"0,0445223","0,987064",,"0,966932851066877"
170,156,"0,0150075","0,99047",,"0,966932851066877"
170,173,"0,0050025","0,990361",,"0,966932851066877"
170,215,"0,0190095","0,993603",,"0,966932851066877"
170,229,"0,0030015","0,994575",,"0,966932851066877"
170,235,"0,0305153","0,994506",,"0,966932851066877"
170,281,"0,0030015","0,996775",,"0,966932851066877"
170,285,"0,00250125","0,997378",,"0,966932851066877"
170,286,"0,0165083","0,997331",,"0,966932851066877"
170,287,"0,00150075","0,997408",,"0,966932851066877"
170,300,"0,012006","0,998361",,"0,966932851066877"
170,310,"0,00250125","0,998856",,"0,966932851066877"
170,314,"0,004002","0,998716",,"0,966932851066877"
170,326,"0,00350175","0,999359",,"0,966932851066877"
170,327,"0,00050025","0,999275",,"0,966932851066877"
170,330,"0,002001","0,999376",,"0,966932851066877"
170,331,"0,00250125","0,999348",,"0,966932851066877"
170,337,"0,0010005","0,999684",,"0,966932851066877"
170,339,"0,0010005","0,999704",,"0,966932851066877"
170,344,"0,0010005","0,999868",,"0,966932851066877"
170,346,"0,0010005",1,,"0,966932851066877"
180,-3,0,"0,983813",,"0,966932851066877"
180,0,"0,614307","0,977579",,"0,966932851066877"
180,1,"0,008004","0,984266",,"0,966932851066877"
180,17,"0,12056","0,983255",,"0,966932851066877"
180,58,"0,056028","0,987686",,"0,966932851066877"
180,86,"0,0275138","0,988195",,"0,966932851066877"
180,111,"0,0375188","0,98576",,"0,966932851066877"
180,156,"0,0130065","0,989648",,"0,966932851066877"
180,173,"0,00950475","0,988696",,"0,966932851066877"
180,215,"0,018009","0,992698",,"0,966932851066877"
180,229,"0,0030015","0,993428",,"0,966932851066877"
180,235,"0,026013","0,99364",,"0,966932851066877"
180,286,"0,022011","0,996429",,"0,966932851066877"
180,287,"0,00250125","0,996536",,"0,966932851066877"
180,300,"0,024012","0,997586",,"0,966932851066877"
180,314,"0,0070035","0,997571",,"0,966932851066877"
180,327,"0,00250125","0,998448",,"0,966932851066877"
180,331,"0,002001","0,998406",,"0,966932851066877"
180,349,"0,00050025","0,99911",,"0,966932851066877"
180,356,"0,00050025","0,999524",,"0,966932851066877"
180,357,"0,00050025","0,999404",,"0,966932851066877"
180,360,"0,00150075","0,999716",,"0,966932851066877"
180,361,"0,00250125","0,999695",,"0,966932851066877"
180,366,"0,00050025","0,999881",,"0,966932851066877"
180,367,"0,00050025",1,,"0,966932851066877"
190,-3,0,"0,98333",,"0,966932851066877"
190,0,"0,567784","0,976189",,"0,966932851066877"
190,1,"0,00650325","0,983644",,"0,966932851066877"
190,17,"0,168084","0,982371",,"0,966932851066877"
190,58,"0,0705353","0,986475",,"0,966932851066877"
190,86,"0,0385193","0,987353",,"0,966932851066877"
190,111,"0,0115058","0,983701",,"0,966932851066877"
190,156,"0,008004","0,988766",,"0,966932851066877"
190,173,"0,002001","0,98782",,"0,966932851066877"
190,215,"0,0345173","0,991073",,"0,966932851066877"
190,229,"0,0010005","0,99224",,"0,966932851066877"
190,235,"0,0070035","0,992809",,"0,966932851066877"
190,286,"0,0230115","0,995589",,"0,966932851066877"
190,300,"0,0170085","0,996429",,"0,966932851066877"
190,314,"0,0275138","0,99625",,"0,966932851066877"
190,327,"0,00050025","0,997626",,"0,966932851066877"
190,331,"0,0090045","0,997075",,"0,966932851066877"
190,357,"0,0010005","0,998309",,"0,966932851066877"
190,377,"0,00250125","0,999299",,"0,966932851066877"
190,380,"0,00150075","0,999546",,"0,966932851066877"
190,383,"0,00150075","0,999751",,"0,966932851066877"
190,387,0,"0,999905",,"0,966932851066877"
190,388,"0,00050025",1,,"0,966932851066877"
190,390,"0,00050025",1,,"0,966932851066877"
200,-3,0,"0,982656",,"0,966932851066877"
200,0,"0,526263","0,975761",,"0,966932851066877"
200,1,"0,0050025","0,981741",,"0,966932851066877"
200,17,"0,173587","0,981501",,"0,966932851066877"
200,58,"0,0770385","0,984738",,"0,966932851066877"
200,86,"0,0395198","0,986226",,"0,966932851066877"
200,111,"0,00450225","0,982763",,"0,966932851066877"
200,156,"0,0135068","0,987974",,"0,966932851066877"
200,173,"0,00550275","0,986504",,"0,966932851066877"
200,215,"0,0435218","0,989593",,"0,966932851066877"
200,229,"0,00350175","0,991259",,"0,966932851066877"
200,235,"0,0205103","0,991981",,"0,966932851066877"
200,286,"0,0135068","0,994363",,"0,966932851066877"
200,300,"0,0185093","0,995533",,"0,966932851066877"
200,314,"0,018009","0,995245",,"0,966932851066877"
200,327,"0,00250125","0,996984",,"0,966932851066877"
200,331,"0,0155078","0,996266",,"0,966932851066877"
200,377,"0,00250125","0,998344",,"0,966932851066877"
200,380,"0,0010005","0,998556",,"0,966932851066877"
200,383,"0,002001","0,998625",,"0,966932851066877"
200,396,"0,002001","0,999316",,"0,966932851066877"
200,399,"0,00250125","0,999285",,"0,966932851066877"
200,401,"0,00250125","0,999375",,"0,966932851066877"
200,402,"0,0010005","0,999526",,"0,966932851066877"
200,403,"0,00150075","0,999369",,"0,966932851066877"
200,404,"0,00250125","0,999653",,"0,966932851066877"
200,407,"0,0010005","0,999823",,"0,966932851066877"
200,409,"0,0010005",1,,"0,966932851066877"
210,-3,0,"0,981764",,"0,966932851066877"
210,0,"0,522261","0,974089",,"0,966932851066877"
210,1,"0,00850425","0,980903",,"0,966932851066877"
210,17,"0,126563","0,980331",,"0,966932851066877"
210,58,"0,0835418","0,983058",,"0,966932851066877"
210,86,"0,0385193","0,985553",,"0,966932851066877"
210,111,"0,00150075","0,982475",,"0,966932851066877"
210,156,"0,016008","0,985615",,"0,966932851066877"
210,173,"0,00650325","0,985944",,"0,966932851066877"
210,215,"0,0385193","0,988804",,"0,966932851066877"
210,235,"0,0310155","0,99125",,"0,966932851066877"
210,286,"0,0070035","0,993031",,"0,966932851066877"
210,300,"0,00650325","0,994163",,"0,966932851066877"
210,314,"0,0155078","0,994924",,"0,966932851066877"
210,331,"0,016008","0,994709",,"0,966932851066877"
210,377,"0,00550275","0,997311",,"0,966932851066877"
210,380,"0,018009","0,997303",,"0,966932851066877"
210,383,"0,0090045","0,997596",,"0,966932851066877"
210,399,"0,026013","0,998436",,"0,966932851066877"
210,401,"0,0030015","0,998493",,"0,966932851066877"
210,403,"0,008004","0,998349",,"0,966932851066877"
210,407,"0,002001","0,998779",,"0,966932851066877"
210,412,"0,00150075","0,999308",,"0,966932851066877"
210,414,"0,00050025","0,999283",,"0,966932851066877"
210,416,"0,002001","0,999438",,"0,966932851066877"
210,417,"0,00150075","0,999335",,"0,966932851066877"
210,425,"0,002001","0,999729",,"0,966932851066877"
210,427,"0,002001","0,999911",,"0,966932851066877"
210,428,"0,00050025",1,,"0,966932851066877"
210,429,"0,00050025",1,,"0,966932851066877"
220,-3,0,"0,980444",,"0,966932851066877"
220,0,"0,535768","0,97282",,"0,966932851066877"
220,1,"0,00050025","0,979525",,"0,966932851066877"
220,17,"0,128564","0,979945",,"0,966932851066877"
220,58,"0,098049","0,98217",,"0,966932851066877"
220,86,"0,0355178","0,983875",,"0,966932851066877"
220,111,"0,00150075","0,981406",,"0,966932851066877"
220,156,"0,012006","0,985024",,"0,966932851066877"
220,215,"0,038019","0,987956",,"0,966932851066877"
220,235,"0,0145073","0,990006",,"0,966932851066877"
220,286,"0,00350175","0,992165",,"0,966932851066877"
220,300,"0,0265133","0,99304",,"0,966932851066877"
220,314,"0,00850425","0,99394",,"0,966932851066877"
220,331,"0,0230115","0,994118",,"0,966932851066877"
220,377,"0,0090045","0,99596",,"0,966932851066877"
220,380,"0,0165083","0,996499",,"0,966932851066877"
220,383,"0,00950475","0,996305",,"0,966932851066877"
220,399,"0,0070035","0,997484",,"0,966932851066877"
220,403,"0,00850425","0,997439",,"0,966932851066877"
220,412,"0,00150075","0,998321",,"0,966932851066877"
220,425,"0,012006","0,998741",,"0,966932851066877"
220,431,"0,00050025","0,999228",,"0,966932851066877"
220,437,"0,00250125","0,999501",,"0,966932851066877"
220,438,"0,0010005","0,999494",,"0,966932851066877"
220,439,"0,00150075","0,999456",,"0,966932851066877"
220,441,"0,0010005","0,999694",,"0,966932851066877"
220,445,"0,00150075","0,9999",,"0,966932851066877"
220,446,"0,0010005",1,,"0,966932851066877"
220,447,"0,00050025",1,,"0,966932851066877"
220,449,"0,00050025",1,,"0,966932851066877"
230,-3,0,"0,979676",,"0,966932851066877"
230,0,"0,583292","0,971693",,"0,966932851066877"
230,17,"0,110055","0,979471",,"0,966932851066877"
230,58,"0,110555","0,980788",,"0,966932851066877"
230,86,"0,0270135","0,982966",,"0,966932851066877"
230,111,"0,0010005","0,980815",,"0,966932851066877"
230,156,"0,0145073","0,983866",,"0,966932851066877"
230,215,"0,0385193","0,98684",,"0,966932851066877"
230,235,"0,0050025","0,989208",,"0,966932851066877"
230,286,"0,00150075","0,990498",,"0,966932851066877"
230,300,"0,0330165","0,992214",,"0,966932851066877"
230,314,"0,010005","0,993521",,"0,966932851066877"
230,331,"0,0145073","0,993058",,"0,966932851066877"
230,377,"0,00150075","0,994931",,"0,966932851066877"
230,380,"0,0090045","0,995744",,"0,966932851066877"
230,383,"0,00550275","0,995245",,"0,966932851066877"
230,399,"0,0030015","0,996284",,"0,966932851066877"
230,403,"0,002001","0,996409",,"0,966932851066877"
230,412,"0,00450225","0,997401",,"0,966932851066877"
230,425,"0,0110055","0,997895",,"0,966932851066877"
230,431,"0,0030015","0,998399",,"0,966932851066877"
230,445,"0,0010005","0,99905",,"0,966932851066877"
