Generation number,Total number of allele,Diversity,Activity,Time,Fertility rate,2 DSB on one site rate,No DSB rate,No symmetrical sites (binding + DSB) rate,q,,"0,944800765999996"
2550,5,"3,07524","0,880019","2,09663","0,944287","0,0316336","0,00188857","0,0221907","0,00678487",,
2560,7,"3,00507","0,878372","2,07477","0,942951","0,0330033","0,00235738","0,0216879","0,00670625",,
2570,6,"3,10394","0,877388","2,05832","0,944733","0,0273973","0,00236183","0,0255078","0,00668371",,
2580,5,"3,37159","0,881894","2,08988","0,946074","0,0288553","0,00141911","0,0236518","0,00686727",,
2590,5,"3,35793","0,876637","2,09122","0,946074","0,0293283","0,00236518","0,0222327","0,00661339",,
2600,5,"3,4761","0,873808","2,06366","0,93985","0,0300752","0,00281955","0,0272556","0,00687086",,
2610,5,"3,54514","0,870861","2,09901","0,93985","0,0319549","0,0018797","0,0263158","0,00669893",,
2620,6,"3,40414","0,872031","2,0929","0,942951","0,0311174","0,0018859","0,0240453","0,0068511",,
2630,6,"3,40191","0,872266","2,10859","0,935891","0,0327562","0,00374357","0,0276088","0,00669085",,
2640,5,"3,50617","0,87034","2,10588","0,937647","0,0360994","0,00140647","0,0248476","0,0067513",,
2650,5,"3,44525","0,865719","2,06097","0,943396","0,0320755","0,00141509","0,0231132","0,00688525",,
2660,6,"3,62274","0,869439","2,10287","0,942507","0,0311027","0,00235627","0,0240339","0,00666793",,
2670,7,"3,55071","0,870566","2,0679","0,940291","0,0314998","0,00188058","0,0263282","0,00687128",,
2680,6,"3,52597","0,865655","2,07403","0,946074","0,0227058","0,00236518","0,0288553","0,00674252",,
2690,7,3697,"0,868027","2,12033","0,931966","0,0344828","0,00372787","0,0298229","0,00651049",,
2700,6,"3,94549","0,875663","2,18906","0,942507","0,029689","0,00329877","0,0245052","0,00659845",,
2710,6,"3,87368","0,870712","2,04715","0,947418","0,022738","0,00284225","0,0270014","0,00671968",,
2720,7,"3,92653","0,86647","2,1439","0,94162","0,0310734","0,00329567","0,0240113","0,00649033",,
2730,5,"3,58457","0,858095","2,10706","0,935454","0,0346118","0,00187091","0,0280636","0,00688322",,
2740,5,"3,61505","0,861383","2,06444","0,941176","0,0348235","0,00376471","0,0202353","0,00691173",,
2750,5,"3,80693","0,857779","2,04834","0,944287","0,02644","0,003305","0,0259679","0,00672962",,
2760,5,"3,93908","0,862322","2,1027","0,944733","0,0236183","0,00236183","0,0292867","0,00653124",,
2770,6,"4,10666","0,859661","2,10359","0,954198","0,0233779","0,0023855","0,0200382","0,00667051",,
2780,5,"4,30763","0,864679","2,10246","0,946522","0,0279224","0,00141978","0,0241363","0,00653798",,
2790,6,"4,55307","0,861958","2,13398","0,930665","0,0339693","0,001396","0,0339693","0,00655242",,
2800,8,"4,56293","0,865819","2,13103","0,928505","0,0413185","0,00185701","0,0283194","0,00659519",,
2810,7,"4,40498","0,859103","2,10911","0,93985","0,0352444","0,00328947","0,0216165","0,00635565",,
2820,6,"4,07727","0,855386","2,12257","0,943396","0,0254717","0,00330189","0,0278302","0,00647786",,
2830,6,"4,06075","0,8555","2,1021","0,94162","0,0301318","0,00188324","0,0263653","0,00640704",,
2840,6,"3,98836","0,859525","2,08877","0,932836","0,036847","0,00233209","0,0279851","0,00679777",,
2850,7,"4,3018","0,858778","2,08369","0,943841","0,0292591","0,0023596","0,0245399","0,0065444",,
2860,7,"4,0118","0,859285","2,07537","0,943396","0,0240566","0,00283019","0,029717","0,00664414",,
2870,9,"4,60747","0,864985","2,13107","0,944287","0,0259679","0,00377715","0,0259679","0,00644044",,
2880,7,"4,90153","0,860943","2,19628","0,939408","0,0267731","0,00328793","0,0305308","0,00638318",,
2890,7,"5,28443","0,856615","2,17653","0,931532","0,035864","0,00232883","0,0302748","0,00655961",,
2900,9,"5,15901","0,851431","2,1677","0,936768","0,0323185","0,00234192","0,0285714","0,00639239",,
2910,8,"5,58445","0,860006","2,13599","0,944733","0,0264525","0,0014171","0,0273973","0,00648522",,
2920,8,"6,1797","0,874357","2,19866","0,949668","0,0246914","0,00237417","0,0232669","0,00612674",,
2930,8,"5,72908","0,873244","2,21632","0,940734","0,0301035","0,00188147","0,0272813","0,00629757",,
2940,8,"6,1254","0,878777","2,24535","0,937647","0,0314112","0,00140647","0,0295359","0,00610196",,
2950,8,"5,87547","0,873587","2,34335","0,94162","0,029661","0,00282486","0,0258945","0,00615267",,
2960,8,"6,28549","0,875578","2,21793","0,942507","0,0292177","0,00282752","0,0254477","0,00636072",,
2970,8,"6,38304","0,882888","2,23229","0,939408","0,0314702","0,00375763","0,025364","0,00615545",,
2980,8,"5,91135","0,883896","2,22607","0,943396","0,0273585","0,00141509","0,0278302","0,00635527",,
2990,10,"6,04797","0,89405","2,22543","0,942951","0,0259312","0,00235738","0,02876","0,00631356",,
3000,9,"5,57481","0,899838","2,30226","0,951475","0,0247383","0,0038059","0,019981","0,00614776",,
3010,9,"5,11471","0,899492","2,20999","0,94162","0,0301318","0,00282486","0,0254237","0,00620097",,
3020,8,"5,25625","0,90511",2212,"0,95057","0,0285171","0,003327","0,0175856","0,00623756",,
3030,8,"5,36151","0,90479","2,25935","0,945626","0,0255319","0,00330969","0,0255319","0,00610453",,
3040,9,"5,21211","0,90523",2242,"0,943396","0,0306604","0,000943396",25,"0,00624873",,
3050,9,"5,83996","0,906742","2,29498","0,948317","0,027027","0,00189663","0,0227596","0,00617568",,
3060,8,"5,52947","0,918547","2,29352","0,942063","0,029675","0,00565238","0,0226095","0,00626101",,
3070,8,"5,15799","0,914506","2,19282","0,950119","0,0294537","0,00332542","0,0171021","0,00614222",,
3080,8,"4,58929","0,918972",2236,"0,951022","0,0275796","0,00285307","0,0185449","0,00642197",,
3090,8,"3,72544","0,933397","2,21197","0,944733","0,033538","0,0028342","0,0188947","0,00653443",,
3100,8,"3,67202","0,93636","2,20666","0,951928","0,026178","0,00190386","0,0199905","0,00630074",,
3110,8,"3,69686","0,935217","2,20585","0,942951","0,0334748","0,00377181","0,019802","0,00640762",,
3120,7,"3,66841","0,936935","2,20702","0,948317","0,0293978","0,00142248","0,020863","0,00644203",,
3130,7,"3,88132","0,934343","2,2246","0,952381","0,0228571","0,000952381","0,0238095","0,0065181",,
3140,7,"3,83531","0,937014","2,19407","0,961538","0,01875","0,00384615","0,0158654","0,00651326",,
3150,7,"3,74701","0,94007","2,22756","0,943396","0,034434","0,00330189","0,0188679","0,00663955",,
3160,7,"3,57704","0,943373","2,20661","0,954654","0,0210024","0,00286396","0,0214797","0,00645034",,
3170,7,"3,44034","0,944757","2,25317","0,943841","0,0292591","0,00283152","0,024068","0,00651879",,
3180,7,"3,57963","0,943011","2,22427","0,947867","0,0308057","0,000947867","0,0203791","0,00650845",,
3190,6,"3,59808","0,940407","2,19791","0,954198","0,0295802","0,000954198","0,0152672","0,00663398",,
3200,6,"3,55703","0,93998","2,21294","0,949668","0,0289649","0,000949668","0,0204179","0,00655834",,
3210,7,"3,60043","0,936456","2,20291","0,944733","0,0307038","0,000944733","0,0236183","0,00646488",,
3220,7,"3,62356","0,931148","2,19025","0,947418","0,026054","0,00473709","0,0217906","0,00663686",,
3230,7,"3,6723","0,929925","2,22929","0,946522","0,02177","0,00331283","0,0283956","0,00665741",,
3240,8,"3,70067","0,929068","2,25081","0,935891","0,0374357","0,00327562","0,0233973","0,00650807",,
3250,8,"3,45734","0,927686","2,16295","0,94697","0,0317235","0,00331439","0,0179924","0,00645272",,
3260,7,"3,57927","0,928838","2,17103","0,949668","0,0265907","0,00189934","0,0218424","0,00657901",,
3270,6,"3,67868","0,921197","2,16954","0,954654","0,026253","0,00143198","0,0176611","0,00652656",,
3280,7,"3,60558","0,924532","2,21355","0,946522","0,0283956","0,00189304","0,0231898","0,00651066",,
3290,6,"3,55232","0,925981","2,15126","0,956023","0,0267686","0,00191205","0,0152964","0,0066713",,
