Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
1180	3	1.98517	1	1.85948	0.955566	0.0291448	0.00191113	0.0133779
1190	2	1.9945	1	1.9097	0.951022	0.0332858	0.000475511	0.0152164
1200	2	1.98774	1	1.8726	0.956938	0.0291866	0.00334928	0.0105263
1210	3	2.00155	1	1.90282	0.954654	0.0310263	0.000954654	0.0133652
1220	2	1.99849	1	1.87989	0.956938	0.0253589	0.00287081	0.0148325
1230	2	1.97274	1	1.88043	0.94697	0.0359848	0.00142045	0.015625
1240	2	1.9585	1	1.86428	0.954654	0.0334129	0.00190931	0.0100239
1250	2	1.92189	0.999998	1.83829	0.953289	0.0290753	0.00381316	0.0138227
1260	2	1.9263	1	1.83936	0.95057	0.0337452	0.00285171	0.0128327
1270	3	1.92485	1	1.87055	0.93985	0.0422932	0.00234962	0.0155075
1280	3	1.96671	1	1.8655	0.951022	0.0275796	0.00380409	0.0175939
1290	3	2.01269	1	1.86531	0.952381	0.0328571	0.00190476	0.0128571
1300	3	2.00672	1	1.89168	0.944287	0.0354108	0.00188857	0.0184136
1310	4	1.99542	1	1.85818	0.948317	0.0350877	0.00474158	0.011854
1320	4	2.03122	1	1.8821	0.955566	0.0310559	0.00191113	0.0114668
1330	4	2.00936	1	1.86948	0.947418	0.0364756	0.00236855	0.0137376
1340	3	1.99213	1	1.86806	0.954198	0.028626	0.0019084	0.0152672
1350	4	2.10414	1	1.90517	0.948317	0.0327169	0.00189663	0.0170697
1360	4	2.16259	1	1.88497	0.949217	0.0341718	0.00284765	0.0137636
1370	4	2.24195	1	1.91317	0.947418	0.0350545	0.000947418	0.0165798
1380	3	2.17122	1	1.8998	0.952835	0.0295379	0.000952835	0.0166746
1390	3	2.18577	1	1.90648	0.951475	0.0299715	0.00285442	0.0156993
1400	4	2.20588	1	1.92038	0.946522	0.0359678	0.00378609	0.0137246
1410	4	2.20244	1	1.87221	0.950119	0.0361045	0.00380048	0.00997625
1420	8	2.26068	1	1.93758	0.946522	0.0369143	0.00141978	0.0151443
1430	6	2.19797	1	1.89297	0.95057	0.0346958	0.00142586	0.013308
1440	4	2.33178	1	1.94072	0.951475	0.0299715	0.000951475	0.0176023
1450	4	2.31952	1	1.90097	0.95648	0.023912	0.00286944	0.0167384
1460	5	2.29001	1	1.92476	0.951022	0.0323348	0.00142653	0.0152164
1470	4	2.23186	1	1.91055	0.951928	0.0323655	0.000951928	0.0147549
1480	4	2.21658	1	1.90646	0.954198	0.0310115	0.0028626	0.0119275
1490	4	2.23522	1	1.89841	0.95648	0.0277379	0.00191296	0.013869
1500	6	2.20057	1	1.93179	0.948767	0.0332068	0.00426945	0.0137571
1510	6	2.20986	1	1.90657	0.948317	0.0341394	0.00142248	0.0161214
1520	5	2.15654	1	1.92182	0.95511	0.0281757	0.00095511	0.0157593
1530	7	2.22998	1	1.88868	0.953743	0.0329041	0.00143062	0.0119218
1540	6	2.22491	1	1.87594	0.959693	0.0220729	0.000959693	0.0172745
1550	5	2.1513	1	1.90787	0.952835	0.0290615	0.0028585	0.0152454
1560	6	2.20021	1	1.90646	0.94518	0.0373346	0.00378072	0.0137051
1570	4	2.19548	1	1.897	0.952835	0.034302	0.00190567	0.0109576
1580	4	2.22139	1	1.89662	0.95511	0.0305635	0.00286533	0.0114613
1590	4	2.07132	1	1.88651	0.953289	0.0314585	0.00285987	0.0123928
1600	4	2.09935	1	1.86828	0.949217	0.0332226	0.00284765	0.0147129
1610	3	2.05017	1	1.89692	0.953289	0.029552	0.00190658	0.0152526
1620	3	2.14074	1	1.88519	0.960615	0.0244957	0.00384246	0.0110471
1630	5	2.06691	1	1.8555	0.951928	0.0356973	0.00190386	0.0104712
1640	5	2.06471	1	1.88448	0.946522	0.0354946	0.00331283	0.0146711
1650	5	2.10892	0.999999	1.84195	0.960615	0.0273775	0.00288184	0.00912584
1660	4	2.10526	0.999998	1.88557	0.956938	0.0277512	0.00239234	0.0129187
1670	3	2.04218	0.999997	1.87512	0.952835	0.0304907	0.00428776	0.0123869
1680	3	1.99435	0.999992	1.88712	0.953743	0.0319504	0.00381497	0.0104912
1690	4	1.89017	0.999975	1.83322	0.954198	0.033874	0.00381679	0.00811069
1700	3	1.87531	0.999984	1.84532	0.952381	0.0328571	0.00380952	0.0109524
1710	3	1.88295	0.99997	1.83179	0.951022	0.0323348	0.00190204	0.0147408
1720	3	1.92354	0.999978	1.84053	0.961538	0.0264423	0.000961538	0.0110577
1730	4	1.89221	0.999983	1.86075	0.948767	0.0332068	0.00379507	0.0142315
1740	3	1.80079	0.999991	1.81863	0.95057	0.0337452	0.003327	0.0123574
1750	3	1.80666	1	1.85375	0.955566	0.0315337	0.00382226	0.00907788
1760	3	1.77755	1	1.81525	0.949668	0.0379867	0.0014245	0.0109212
1770	4	1.85869	1	1.84565	0.949668	0.0318139	0.00332384	0.0151947
1780	3	1.76802	1	1.80999	0.955566	0.0272336	0.00334448	0.0138557
1790	3	1.87353	1	1.85766	0.942951	0.0358322	0.00330033	0.0179161
1800	2	1.81668	1	1.84042	0.954198	0.0305344	0.0019084	0.0133588
1810	2	1.92039	1	1.82263	0.953743	0.0290892	0.00238436	0.014783
1820	2	1.88091	1	1.86047	0.943396	0.0377358	0.00283019	0.0160377
1830	3	1.95756	1	1.84418	0.959693	0.0259117	0.00191939	0.012476
1840	3	1.95258	1	1.86301	0.956938	0.0272727	0.00334928	0.0124402
1850	3	1.92633	1	1.83605	0.952835	0.0362077	0.000476417	0.0104812
1860	2	1.93547	1	1.86062	0.950119	0.0356295	0.00190024	0.0123515
1870	2	1.94663	1	1.88449	0.94697	0.0378788	0.00236742	0.0127841
1880	2	1.96847	1	1.8457	0.948317	0.0331911	0.00331911	0.0151731
1890	4	1.96038	1	1.83945	0.951022	0.0366144	0.00237756	0.00998573
1900	3	1.96238	1	1.8506	0.948767	0.0351044	0.0028463	0.0132827
1910	2	1.89984	1	1.81705	0.946522	0.0350213	0	0.0184572
1920	2	1.96597	1	1.8702	0.951022	0.0304327	0.00237756	0.0161674
1930	3	1.89334	1	1.85182	0.946074	0.0335856	0.0037843	0.0165563
1940	3	1.95802	1	1.8461	0.950119	0.0299287	0.00142518	0.0185273
1950	3	1.93291	1	1.82175	0.950119	0.031829	0.0023753	0.015677
1960	3	1.94787	1	1.87567	0.956938	0.0263158	0.00334928	0.0133971
1970	2	1.96648	1	1.85722	0.954198	0.0319656	0.000954198	0.0128817
1980	3	1.99055	1	1.88225	0.937207	0.0431115	0.00468604	0.0149953
1990	5	2.00329	1	1.87157	0.95648	0.0253467	0.00095648	0.0172166
2000	3	2.00136	1	1.8799	0.943396	0.0386792	0.00235849	0.015566
2010	2	1.99762	1	1.89374	0.942507	0.0377003	0.00235627	0.0174364
