Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
1240	6	1.45229	0.766278	1.47545	0.923788	0.0420323	0.00138568	0.0327945	0.00871262
1250	5	1.36424	0.761563	1.46056	0.920387	0.040497	0.00230097	0.0368155	0.00892454
1260	6	1.38606	0.754884	1.44038	0.927644	0.0384972	0.00185529	0.0320037	0.00880768
1270	6	1.43975	0.747046	1.45478	0.917852	0.0458926	0.00321248	0.0330427	0.00873192
1280	7	1.54177	0.763426	1.52801	0.92081	0.0441989	0.00276243	0.0322284	0.00844611
1290	8	1.69057	0.764349	1.581	0.923788	0.0364896	0.00184758	0.0378753	0.00828218
1300	6	1.78727	0.770457	1.68331	0.926784	0.0329008	0.00139018	0.0389249	0.00820257
1310	6	1.88269	0.772067	1.67034	0.917852	0.0445158	0.00321248	0.0344195	0.00799707
1320	6	2.04391	0.776823	1.63677	0.922509	0.0378229	0.000922509	0.0387454	0.00789197
1330	7	2.21932	0.778181	1.65995	0.926784	0.0370714	0.00185357	0.034291	0.00767261
1340	6	2.86042	0.801076	1.76056	0.934143	0.0312938	0	0.0345633	0.00706938
1350	7	2.97325	0.794367	1.79967	0.937647	0.0365682	0.00234412	0.0234412	0.00723809
1360	8	3.20649	0.802314	1.82589	0.926784	0.0315107	0.00417053	0.0375348	0.00701459
1370	6	3.13815	0.796022	1.81936	0.934143	0.0294255	0.00140121	0.0350304	0.00701184
1380	8	3.42279	0.798637	2.03446	0.934143	0.0280243	0.00140121	0.0364316	0.00696448
1390	7	3.85444	0.806391	1.9929	0.919963	0.0326587	0.00321987	0.0441582	0.00661264
1400	6	4.59782	0.825077	1.92575	0.926355	0.0282538	0.00370542	0.041686	0.00657271
1410	6	4.88946	0.837424	1.92906	0.934579	0.0336449	0.00186916	0.0299065	0.00658706
1420	7	4.69595	0.842582	1.9451	0.942507	0.0320452	0	0.0254477	0.00641698
1430	5	4.42038	0.85132	1.93214	0.942507	0.0230914	0.00282752	0.031574	0.00648233
1440	7	4.12616	0.859189	1.9293	0.941176	0.0254118	0.00141176	0.032	0.0064679
1450	5	3.80437	0.8654	1.90093	0.938527	0.0276865	0.000938527	0.0328484	0.00678267
1460	6	3.1309	0.866909	1.92188	0.940734	0.0296331	0.00376294	0.0258702	0.0066459
1470	5	3.03781	0.860569	1.87567	0.927214	0.0440427	0.00278164	0.025962	0.00683446
1480	6	3.42409	0.855321	1.9	0.933271	0.0317312	0.00373308	0.0312646	0.00653855
1490	6	3.72467	0.851118	1.90354	0.940291	0.0319699	0.00282087	0.0249177	0.00674948
1500	7	3.35154	0.852815	1.84876	0.950119	0.0232779	0.00427553	0.0223278	0.00673218
1510	7	3.26624	0.849698	1.87898	0.938967	0.0352113	0.00140845	0.0244131	0.0068369
1520	7	2.8535	0.844751	1.79714	0.946522	0.0231898	0.00378609	0.0265026	0.00700299
1530	6	2.82831	0.839574	1.83006	0.936768	0.034192	0.00234192	0.0266979	0.00694418
1540	5	2.479	0.837511	1.74632	0.954198	0.023855	0.000954198	0.0209924	0.0070965
1550	5	2.41192	0.832347	1.76465	0.937647	0.037037	0.00234412	0.0229723	0.00724684
1560	5	2.34165	0.827887	1.74479	0.930665	0.0325733	0.00186133	0.0349	0.00720969
1570	6	2.30536	0.822472	1.72945	0.936768	0.0337237	0.00140515	0.028103	0.00735885
1580	7	2.6998	0.81699	1.94989	0.93633	0.0271536	0.00374532	0.0327715	0.00688001
1590	7	2.89716	0.816324	1.79461	0.94162	0.0249529	0.00282486	0.0306026	0.00684535
1600	6	2.99406	0.811066	1.82254	0.928074	0.0385151	0.00278422	0.0306265	0.00691391
1610	5	3.23133	0.807731	1.82511	0.924642	0.0383726	0.00138696	0.0355987	0.00665238
1620	5	2.86987	0.80466	1.77527	0.923361	0.0341644	0.00138504	0.0410896	0.00693525
1630	5	3.11519	0.804417	1.84733	0.924642	0.0319001	0.00323625	0.0402219	0.00649886
1640	5	3.16509	0.802013	1.81081	0.930665	0.0353653	0.000465333	0.033504	0.00686638
1650	5	3.13587	0.800095	1.82361	0.935016	0.028518	0.00140252	0.0350631	0.00667495
1660	5	3.03004	0.791785	1.79525	0.931099	0.0297952	0.0018622	0.0372439	0.00685195
1670	5	3.2066	0.790052	1.80719	0.917852	0.037173	0.0018357	0.0431391	0.00674569
1680	6	3.48955	0.793704	1.81334	0.928505	0.0380687	0.00185701	0.0315692	0.00661552
1690	4	3.41294	0.788332	1.8149	0.933271	0.0270649	0.00373308	0.0359309	0.00662128
1700	7	3.48322	0.785061	1.86238	0.909918	0.0414013	0.00363967	0.0450409	0.00679902
1710	5	3.65324	0.788752	1.84202	0.929368	0.0315985	0.00232342	0.03671	0.00669273
1720	5	3.57244	0.797972	1.90863	0.930233	0.0274419	0.00139535	0.0409302	0.00669571
1730	5	3.49332	0.797937	1.83957	0.928936	0.0278681	0.00278681	0.0404087	0.0066798
1740	6	3.19552	0.805233	1.82169	0.928936	0.0348351	0.00185787	0.0343706	0.00680864
1750	5	3.04021	0.798572	1.7753	0.9298	0.0353324	0.0018596	0.0330079	0.00703552
1760	7	2.89484	0.803846	1.79138	0.930233	0.035814	0.00325581	0.0306977	0.00689252
1770	6	3.01007	0.792666	1.78151	0.932836	0.0247201	0.00233209	0.0401119	0.00712037
1780	5	2.85141	0.789089	1.78303	0.928505	0.0343547	0.00278552	0.0343547	0.00699298
1790	6	2.73848	0.783778	1.76091	0.919963	0.0367985	0.00229991	0.0409384	0.0070141
1800	5	2.71194	0.776808	1.7386	0.933271	0.0317312	0.00233318	0.0326645	0.00703422
1810	5	2.32701	0.786084	1.7074	0.931099	0.033054	0.0018622	0.0339851	0.00732669
1820	5	2.19741	0.788281	1.68821	0.9298	0.0330079	0.0009298	0.0362622	0.00742088
1830	5	2.07942	0.79061	1.67316	0.919963	0.0390984	0.00183993	0.0390984	0.0075145
1840	6	1.9052	0.79044	1.65682	0.924214	0.0360444	0.00231054	0.0374307	0.00783142
1850	7	1.65432	0.797013	1.58912	0.935891	0.0332241	0.00327562	0.0276088	0.00805114
1860	6	1.60955	0.792632	1.56592	0.930233	0.0395349	0.000465116	0.0297674	0.00822789
1870	6	1.53098	0.790691	1.5722	0.922509	0.0396679	0.00461255	0.0332103	0.00822669
1880	6	1.57389	0.782978	1.56592	0.917431	0.046789	0.00275229	0.0330275	0.00824221
1890	6	1.50114	0.787733	1.56462	0.927644	0.0435993	0.00139147	0.0273655	0.00812173
1900	6	1.36037	0.788765	1.48614	0.931532	0.0349325	0.0013973	0.0321379	0.00865886
1910	4	1.37006	0.774714	1.50797	0.929368	0.0394981	0.00232342	0.0288104	0.0085488
1920	5	1.25119	0.775802	1.45219	0.922935	0.0392247	0.00369174	0.0341486	0.00887592
1930	5	1.16296	0.770785	1.39732	0.917431	0.0486239	0.00275229	0.0311927	0.00923467
1940	5	1.15145	0.762996	1.38625	0.920387	0.0409572	0.00276116	0.0358951	0.00924722
1950	3	1.20349	0.75392	1.39031	0.917431	0.040367	0.00229358	0.0399083	0.00911938
1960	5	1.22707	0.750843	1.4939	0.935454	0.0327409	0.00233863	0.0294668	0.0089402
1970	6	1.33161	0.744176	1.43545	0.925926	0.0398148	0.000925926	0.0333333	0.00887029
1980	5	1.46559	0.750518	1.70158	0.920387	0.0400368	0.00184077	0.0377358	0.00843497
1990	6	1.57709	0.750882	1.53004	0.929368	0.0413569	0.00185874	0.0274164	0.00825504
2000	5	1.85403	0.767621	1.62598	0.923361	0.034626	0.00277008	0.0392428	0.00772567
2010	5	1.83148	0.75683	1.58886	0.91659	0.0380385	0.00320807	0.0421632	0.00777857
2020	5	1.95396	0.761566	1.62636	0.920387	0.0377358	0.00506213	0.0368155	0.00801151
2030	5	2.18509	0.77002	1.65122	0.931532	0.0335352	0.0027946	0.0321379	0.00761551
2040	5	2.23756	0.76782	1.69737	0.924214	0.0328096	0.00323475	0.0397412	0.00745037
2050	5	2.49576	0.785013	1.77232	0.91954	0.0409195	0.00091954	0.0386207	0.00727614
2060	5	2.67011	0.796763	1.74963	0.931966	0.0344828	0.000931966	0.0326188	0.00705304
2070	6	2.9426	0.805688	1.82481	0.926784	0.0310473	0.00185357	0.0403151	0.00690098
2080	6	2.7717	0.811051	1.81737	0.928936	0.0343706	0.00232234	0.0343706	0.00683939
2090	4	2.60063	0.826551	1.82291	0.928074	0.0324826	0.00278422	0.0366589	0.00687869
2100	5	2.79221	0.833483	1.79903	0.939408	0.0305308	0.000939408	0.0291217	0.00697199
2110	6	3.11874	0.837625	1.8617	0.928936	0.0343706	0.00278681	0.0339062	0.00677951
2120	5	2.96736	0.844988	1.83209	0.943396	0.0235849	0.00471698	0.0283019	0.00671538
2130	4	2.91467	0.846232	1.90867	0.936768	0.0313817	0.00374707	0.028103	0.00684971
2140	4	2.65451	0.852368	1.92008	0.942507	0.0292177	0.00188501	0.0263902	0.00681199
2150	5	2.56801	0.859578	1.90803	0.937207	0.0356139	0.000937207	0.0262418	0.00695478
2160	5	2.85162	0.854079	1.91444	0.94518	0.0326087	0.00189036	0.0203214	0.00681909
2170	7	2.76775	0.854948	2.48766	0.929368	0.0348513	0.00325279	0.0325279	0.00707172
2180	6	2.93809	0.850052	1.94939	0.928074	0.037587	0.00185615	0.0324826	0.00662492
2190	5	2.8249	0.849938	1.89122	0.942063	0.0282619	0.000471032	0.029204	0.00703402
2200	5	2.88612	0.848711	1.88159	0.94697	0.0250947	0.00473485	0.0232008	0.00676117
2210	5	2.68193	0.838197	1.97609	0.939408	0.025364	0.00328793	0.0319399	0.00690186
2220	5	2.88182	0.838092	1.86084	0.937647	0.0337553	0.00281294	0.0257853	0.00697949
2230	3	2.80294	0.830462	1.92351	0.9298	0.027894	0.0041841	0.0381218	0.00691769
2240	3	2.81501	0.826252	1.84074	0.931966	0.0354147	0.00232992	0.0302889	0.00688348
2250	6	2.91831	0.826693	1.95638	0.928936	0.0339062	0.0013934	0.0357641	0.00647749
2260	4	2.96406	0.821883	1.83233	0.933707	0.031746	0.00233427	0.0322129	0.00686206
2270	4	2.98731	0.819133	1.89737	0.931532	0.0349325	0.00232883	0.0312063	0.00673614
2280	5	2.98203	0.816003	2.0871	0.925926	0.0361111	0.00185185	0.0361111	0.00677009
2290	4	2.92256	0.814074	1.98117	0.928074	0.0366589	0.00232019	0.0329466	0.00678843
2300	4	2.87464	0.808123	1.81778	0.931966	0.0321528	0.00139795	0.0344828	0.00686384
2310	4	2.85655	0.805914	1.79489	0.930665	0.032108	0.00186133	0.0353653	0.007068
2320	5	2.64767	0.804696	1.7444	0.942951	0.0268741	0.00282885	0.0273456	0.00703369
2330	3	2.43583	0.802357	1.72578	0.936768	0.0290398	0.0028103	0.0313817	0.00728872
2340	5	2.60817	0.793698	1.74128	0.932401	0.0335664	0.0013986	0.032634	0.00702582
2350	5	2.54567	0.78798	1.75551	0.918695	0.0381259	0.00321543	0.0399633	0.00715094
2360	5	2.47832	0.784305	1.72917	0.928505	0.0329619	0.000928505	0.0376045	0.00729854
2370	4	2.35659	0.777173	1.69631	0.934579	0.0336449	0.00233645	0.0294393	0.0072616
2380	7	2.24238	0.768474	1.71053	0.92081	0.038674	0.00138122	0.0391344	0.00747224
2390	4	1.92451	0.765266	1.68379	0.925069	0.039778	0.00185014	0.0333025	0.00785406
2400	4	1.86496	0.758056	1.74442	0.918274	0.0376492	0.00229568	0.0417815	0.0077824
2410	5	1.63978	0.753177	1.66125	0.928505	0.0413185	0.00371402	0.0264624	0.0083693
2420	5	1.69965	0.748914	1.83912	0.922509	0.0387454	0.00184502	0.0369004	0.00819348
2430	6	1.71713	0.742588	1.59308	0.935016	0.0299205	0.00187003	0.0331931	0.00843394
2440	4	1.75676	0.734621	1.53214	0.928505	0.0380687	0.00324977	0.0301764	0.00812874
2450	4	1.64632	0.728438	1.53178	0.917852	0.0385498	0.00137678	0.0422212	0.00843091
2460	4	1.64694	0.723308	1.49539	0.921234	0.0405343	0.00184247	0.0363888	0.00839101
2470	4	1.71146	0.716759	1.50123	0.912409	0.0415146	0.000912409	0.0451642	0.0083627
2480	5	1.79667	0.718712	1.53488	0.927644	0.0315399	0.00231911	0.0384972	0.00824882
2490	6	1.76488	0.712256	1.55795	0.918274	0.0353535	0.00367309	0.0426997	0.00829146
2500	6	1.75381	0.702591	1.51286	0.909918	0.0464058	0.00181984	0.0418562	0.00843826
2510	4	1.69454	0.698096	1.50283	0.911162	0.0396355	0.00136674	0.047836	0.00846454
2520	5	1.76024	0.695104	1.49171	0.914077	0.0388483	0.00411335	0.0429616	0.00851283
