Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
6980	5	3.08861	0.774698	2.12066	0.975134	0	0.00487567	0.0199902	0.863365
6990	5	3.19867	0.77426	2.12409	0.971817	0	0.00388727	0.0242954	0.877006
7000	4	3.29095	0.770279	2.12418	0.965251	0	0.0019305	0.0328185	0.866114
7010	4	3.3913	0.768673	2.16314	0.973236	0	0.00145985	0.0253041	0.886907
7020	4	3.49229	0.763141	2.20298	0.968992	0	0.00145349	0.0295543	0.879059
7030	4	3.73836	0.766487	2.19962	0.967118	0	0.00435203	0.02853	0.89646
7040	5	3.78081	0.762696	2.17809	0.97229	0	0.00145843	0.0262518	0.872472
7050	4	3.70563	0.765143	2.17055	0.967118	0	0.00145068	0.0314313	0.885083
7060	5	3.61461	0.764139	2.13278	0.970403	0	0.00388161	0.0257157	0.879762
7070	5	3.4508	0.765954	2.18982	0.969462	0	0.00145419	0.0290839	0.881414
7080	5	3.48607	0.766686	2.14938	0.969932	0	0.00242483	0.0276431	0.875442
7090	5	3.58641	0.765629	2.2063	0.966651	0	0.000966651	0.0323828	0.889606
7100	6	3.60633	0.76617	2.16302	0.964785	0	0.00385914	0.0313555	0.88216
7110	7	3.69152	0.752746	2.14711	0.97229	0	0.00097229	0.026738	0.880158
7120	6	3.77564	0.744316	2.14447	0.96432	0	0.00192864	0.0337512	0.869166
7130	7	3.54345	0.756779	2.10028	0.967586	0	0.00580552	0.0266086	0.884948
7140	9	3.51228	0.758333	2.09711	0.977995	0	0.00146699	0.0205379	0.894606
7150	7	3.48764	0.752832	2.07755	0.970403	0	0.00194081	0.0276565	0.87237
7160	9	3.44705	0.744628	2.09444	0.970874	0	0.00194175	0.0271845	0.877714
7170	8	3.2159	0.75276	2.12217	0.968992	0	0.00290698	0.0281008	0.88594
7180	8	3.21195	0.754411	2.08892	0.969932	0	0.00484966	0.0252182	0.886351
7190	8	3.04911	0.753229	2.03787	0.97704	0	0.00293112	0.0200293	0.893273
7200	8	2.90508	0.756492	2.08395	0.969462	0	0.00242365	0.0281144	0.898111
7210	8	3.26593	0.763373	2.06306	0.978474	0	0.00293542	0.018591	0.881925
7220	9	2.87617	0.768494	2.06006	0.97561	0	0.00195122	0.022439	0.917004
7230	9	2.66804	0.759462	2.0335	0.978474	0	0.00195695	0.0195695	0.893484
7240	8	2.5536	0.764612	2.02482	0.968992	0	0.000968992	0.0300388	0.899111
7250	8	2.4761	0.762944	1.9682	0.978953	0	0.000489476	0.020558	0.883884
7260	8	2.56357	0.761033	2.01218	0.973236	0	0.00145985	0.0253041	0.889734
7270	8	2.42278	0.761092	2.03962	0.966184	0	0.00434783	0.0294686	0.896195
7280	8	2.38255	0.74982	1.93868	0.970403	0	0.000970403	0.0286269	0.878078
7290	7	2.3339	0.756589	2.01068	0.970874	0	0.000970874	0.0281553	0.879204
7300	7	2.04013	0.751265	1.88038	0.969932	0	0.00193986	0.028128	0.87808
7310	8	2.01049	0.751344	1.88013	0.965717	0	0.000965717	0.0333172	0.868274
7320	7	2.21968	0.747396	1.91174	0.972763	0	0.00291829	0.0243191	0.868598
7330	7	2.04605	0.722479	1.85596	0.965251	0	0.00434363	0.0304054	0.853547
7340	6	2.28043	0.725958	1.87694	0.965251	0	0.0019305	0.0328185	0.851123
7350	6	2.30044	0.726263	1.91629	0.966651	0	0.00289995	0.0304495	0.861688
7360	5	2.57772	0.732635	1.9723	0.974184	0	0.00146128	0.0243546	0.874703
7370	6	2.47667	0.736588	1.99735	0.968523	0	0.00145278	0.0300242	0.875466
7380	6	2.67294	0.74169	2.03619	0.96432	0	0.0048216	0.0308582	0.880325
7390	5	2.86026	0.738456	2.0509	0.967586	0	0.00241896	0.0299952	0.868552
7400	5	2.70271	0.735206	1.99155	0.963855	0	0.00144578	0.0346988	0.864087
7410	5	2.80667	0.729237	1.97755	0.971345	0	0.00145702	0.0271977	0.865144
