Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
1710	4	2.273	0.895455	1.85325	0.944287	0.0349386	0.00188857	0.0188857
1720	4	2.05113	0.898163	1.82415	0.947867	0.0322275	0.00379147	0.0161137
1730	4	2.06924	0.896343	1.83228	0.947867	0.0322275	0.00189573	0.0180095
1740	4	2.0266	0.896346	1.83464	0.943841	0.0344502	0.00141576	0.0202926
1750	4	1.9041	0.89875	1.78362	0.946522	0.0336015	0.0023663	0.0175106
1760	5	1.8893	0.896978	1.78767	0.94697	0.030303	0.00473485	0.0179924
1770	3	2.00781	0.889525	1.82054	0.93633	0.0379213	0.00280899	0.0229401
1780	4	1.91269	0.891608	1.77776	0.955566	0.0267559	0.00238892	0.0152891
1790	4	1.98359	0.886197	1.7752	0.948767	0.0303605	0.00379507	0.0170778
1800	3	1.84911	0.888991	1.78671	0.941176	0.0324706	0.00235294	0.024
1810	4	1.85454	0.886388	1.76821	0.942507	0.0358153	0.00235627	0.0193214
1820	4	1.89864	0.882587	1.77003	0.930233	0.044186	0.00372093	0.0218605
1830	3	1.8847	0.878524	1.75949	0.937207	0.0426429	0.00187441	0.0182755
1840	3	2.14171	0.868082	1.78114	0.951022	0.0309082	0.00142653	0.0166429
1850	4	2.00258	0.869741	1.7656	0.942063	0.0334432	0.000942063	0.0235516
1860	4	1.83715	0.874515	1.75671	0.935454	0.0392891	0.00233863	0.0229186
1870	5	1.91468	0.869431	1.74795	0.947867	0.0322275	0.00236967	0.0175355
1880	5	1.89219	0.864992	1.74361	0.944733	0.0368446	0.000944733	0.0174776
1890	6	2.10316	0.85627	1.77268	0.940291	0.0324401	0.00188058	0.0253879
1900	5	1.96191	0.86302	1.77171	0.931099	0.038175	0.0027933	0.027933
1910	4	2.08567	0.853321	1.77946	0.950119	0.0270784	0.00285036	0.0199525
1920	5	2.02488	0.856028	1.77856	0.936768	0.036534	0.00140515	0.0252927
1930	4	2.16398	0.846816	1.77325	0.942951	0.0377181	0.00235738	0.0169731
1940	5	2.22053	0.842593	1.77174	0.948317	0.0322428	0.00237079	0.0170697
1950	4	2.00989	0.842973	1.78565	0.940291	0.0324401	0.00188058	0.0253879
1960	4	2.11899	0.834704	1.75299	0.933707	0.0392157	0.00280112	0.0242764
1970	4	2.24718	0.834078	1.76591	0.942507	0.0301602	0.00235627	0.0249764
1980	5	2.03533	0.843008	1.70212	0.947867	0.0350711	0.000947867	0.0161137
1990	6	2.12651	0.841191	1.79537	0.928074	0.037123	0.00185615	0.0329466
2000	4	1.91141	0.843533	1.7505	0.938967	0.0314554	0.00375587	0.0258216
2010	6	1.79539	0.84809	1.70027	0.94162	0.0334275	0.00094162	0.0240113
2020	6	1.7453	0.845582	1.68745	0.942951	0.0315889	0.00235738	0.0231023
2030	5	1.99175	0.831946	1.72118	0.93633	0.036985	0.00280899	0.0238764
2040	4	1.93988	0.82372	1.68522	0.941176	0.0301176	0.00376471	0.0249412
2050	3	2.01343	0.817675	1.69912	0.940291	0.029149	0.00188058	0.0286789
2060	4	1.82465	0.825993	1.76541	0.940291	0.0314998	0	0.0282087
2070	5	1.71999	0.828656	1.6423	0.933271	0.0373308	0.00373308	0.025665
2080	3	1.74397	0.821028	1.64897	0.938967	0.0338028	0.0028169	0.0244131
2090	3	1.5968	0.822774	1.61852	0.942507	0.031574	0.00282752	0.0230914
2100	4	1.70228	0.815915	1.62814	0.930233	0.0451163	0.000930233	0.0237209
2110	4	1.83211	0.809161	1.65813	0.936768	0.0370023	0.00234192	0.0238876
2120	3	1.91903	0.804502	1.65867	0.940734	0.0305738	0.00329257	0.0253998
2130	4	1.86672	0.806161	1.63636	0.942507	0.0339303	0.00424128	0.0193214
2140	4	2.04843	0.800442	1.68397	0.941176	0.0371765	0.000941176	0.0207059
2150	4	2.0428	0.797175	1.65942	0.942951	0.0282885	0.000942951	0.0278171
2160	4	2.06824	0.795898	1.69656	0.934579	0.0345794	0.00140187	0.0294393
2170	4	1.91935	0.793272	1.63285	0.935891	0.0360318	0.00187178	0.026205
2180	3	1.70213	0.793315	1.59853	0.94162	0.037194	0.00188324	0.0193032
2190	3	1.73911	0.792365	1.6184	0.930233	0.0427907	0.00186047	0.0251163
2200	3	1.72752	0.794138	1.59145	0.946074	0.0302744	0.000946074	0.0227058
2210	3	1.72873	0.791051	1.64222	0.93633	0.034176	0.00374532	0.0257491
2220	4	1.69134	0.787811	1.60713	0.936768	0.0337237	0.0028103	0.0266979
2230	3	1.64213	0.781777	1.58956	0.94518	0.0274102	0.00047259	0.0269376
2240	3	1.57355	0.777516	1.56885	0.924642	0.0434582	0.000924642	0.0309755
2250	4	1.69182	0.776676	1.59074	0.938086	0.0333021	0.0032833	0.0253283
2260	3	1.83082	0.773037	1.63326	0.928936	0.0408732	0.00371575	0.0264747
2270	5	1.88449	0.765515	1.62804	0.934143	0.0387669	0.00140121	0.0256889
2280	3	1.94207	0.765998	1.64396	0.934143	0.0359645	0.00280243	0.0270901
2290	4	2.11605	0.760952	1.64644	0.930665	0.0414146	0.00186133	0.0260586
2300	5	2.09915	0.760792	1.66734	0.932836	0.0363806	0.00186567	0.0289179
2310	6	2.19869	0.755562	1.66875	0.929368	0.0446097	0.00232342	0.0236989
2320	5	2.42154	0.747737	1.69545	0.937207	0.0304592	0.00234302	0.0299906
2330	3	2.35643	0.746757	1.67254	0.933271	0.0349977	0.00326645	0.0284648
2340	3	2.36453	0.743593	1.65653	0.939408	0.0366369	0.00234852	0.0216064
2350	5	2.3751	0.74565	1.66909	0.937207	0.0365511	0.000937207	0.0253046
2360	7	2.44485	0.747686	1.67184	0.935016	0.0322581	0.00233754	0.030388
2370	6	2.30082	0.746974	1.6577	0.927644	0.0324675	0.00463822	0.0352505
2380	6	2.22323	0.746015	1.64788	0.927214	0.0403338	0.00231803	0.0301344
2390	7	2.11697	0.745052	1.62027	0.933707	0.0340803	0.00233427	0.0298786
2400	6	2.07349	0.750654	1.61404	0.937207	0.0370197	0.000937207	0.024836
2410	5	2.05859	0.75106	1.6735	0.933707	0.0368814	0.00186741	0.0275444
2420	5	2.10851	0.745872	1.62969	0.932401	0.0414918	0.0013986	0.0247086
2430	6	2.09877	0.744635	1.6232	0.933707	0.0392157	0.00140056	0.0256769
2440	6	2.15133	0.742267	1.60829	0.934143	0.0368986	0.00186829	0.0270901
2450	6	2.32411	0.755252	1.69414	0.931966	0.0354147	0.0027959	0.0298229
2460	5	2.70582	0.769134	1.73471	0.933271	0.0368642	0.00186654	0.0279981
2470	5	2.7929	0.766477	1.71044	0.939408	0.0328793	0.00375763	0.0239549
2480	7	3.23993	0.786429	1.82697	0.933271	0.0298647	0.00326645	0.0335978
2490	5	3.47933	0.794151	1.84396	0.927214	0.0403338	0.00185443	0.0305981
2500	5	3.44282	0.798137	1.82606	0.938086	0.0295497	0.00281426	0.0295497
2510	5	3.77089	0.811197	1.84333	0.939408	0.0319399	0.00234852	0.0263034
2520	5	4.187	0.836467	1.89777	0.951928	0.0242742	0.00285578	0.0209424
2530	6	4.06075	0.860382	1.94187	0.943396	0.0325472	0.00330189	0.0207547
2540	5	3.86014	0.877945	1.96579	0.942063	0.0325012	0.00141309	0.0240226
2550	6	3.62598	0.888669	1.97095	0.947867	0.0322275	0.00236967	0.0175355
2560	5	3.74573	0.873681	1.93425	0.950119	0.031829	0	0.0180523
2570	4	3.36859	0.886137	1.95339	0.941176	0.0334118	0.00141176	0.024
2580	5	3.37537	0.886863	1.91876	0.942063	0.0376825	0.00235516	0.0178992
2590	5	3.30277	0.884719	1.92003	0.94697	0.0284091	0.00189394	0.0227273
2600	4	2.70107	0.913043	1.89953	0.953289	0.0243089	0.00333651	0.0190658
2610	5	2.3868	0.928918	1.88592	0.946522	0.0317085	0.00331283	0.0184572
2620	4	2.45166	0.924426	1.91743	0.94162	0.0324859	0.00235405	0.0235405
2630	4	2.20327	0.926335	1.84721	0.952835	0.0300143	0.00333492	0.0138161
2640	5	2.2776	0.935253	1.90294	0.95057	0.0280418	0.003327	0.0180608
2650	5	2.29923	0.92574	1.92063	0.947867	0.0350711	0.00236967	0.0146919
2660	5	2.06588	0.932956	1.8463	0.95057	0.0346958	0.00142586	0.013308
2670	5	2.01916	0.935669	1.85633	0.942951	0.0381895	0.000942951	0.0179161
2680	5	1.94045	0.93464	1.84402	0.94162	0.0409605	0.00141243	0.0160075
2690	5	2.01519	0.926512	1.84082	0.945626	0.0330969	0.00141844	0.0198582
2700	7	1.86672	0.92135	1.77876	0.952381	0.0342857	0.00238095	0.0109524
2710	6	2.02352	0.911363	1.84294	0.94518	0.0335539	0.00236295	0.0189036
2720	5	1.99221	0.916883	1.83575	0.93985	0.0408835	0.00140977	0.0178571
2730	5	2.1602	0.9067	1.83693	0.946522	0.032655	0.00189304	0.0189304
2740	6	2.21166	0.908488	1.8644	0.940291	0.0380818	0.000940291	0.0206864
2750	7	2.30999	0.901092	1.9041	0.943396	0.0320755	0.00377358	0.0207547
2760	5	2.45942	0.89422	1.87643	0.943396	0.0349057	0.00141509	0.020283
2770	5	2.38539	0.904623	1.87778	0.944733	0.033538	0.00188947	0.0198394
2780	4	2.35636	0.911485	1.9264	0.935891	0.0383715	0.00467946	0.0210576
2790	4	2.30852	0.902655	1.90117	0.93985	0.031485	0.00281955	0.0258459
2800	4	2.44428	0.901544	1.90243	0.944733	0.0377893	0.00188947	0.0155881
