Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
960	4	2.84533	0.846706	2.01384	0.944287	0.0292729	0.000944287	0.0254958	0.0071388
970	4	2.87023	0.842616	2.11314	0.942951	0.0292315	0.00141443	0.0264026	0.00706201
980	7	2.86866	0.839097	2.23592	0.938086	0.0304878	0.000938086	0.0304878	0.00705526
990	6	2.86874	0.837435	2.10217	0.935891	0.0332241	0.000935891	0.0299485	0.006781
1000	5	2.87584	0.838161	2.33383	0.927644	0.0352505	0.00371058	0.0333952	0.00694235
1010	7	2.83867	0.833331	2.31114	0.935454	0.03087	0.00280636	0.03087	0.0069967
1020	4	2.90774	0.834887	2.33007	0.928074	0.0338747	0.00417633	0.0338747	0.00695108
1030	4	2.81166	0.831048	2.04037	0.938086	0.0356473	0.00140713	0.0248593	0.00707966
1040	5	2.86477	0.833696	2.16678	0.931966	0.0312209	0.00372787	0.0330848	0.00694971
1050	5	2.86808	0.832577	2.17826	0.933707	0.0359477	0.00280112	0.0275444	0.0072688
1060	6	2.89517	0.834091	2.01921	0.937647	0.0314112	0.00234412	0.0285982	0.00711333
1070	5	2.92733	0.835183	2.16412	0.928074	0.0334107	0.00324826	0.0352668	0.00716742
1080	5	2.90649	0.83089	2.25158	0.940734	0.0329257	0.000470367	0.0258702	0.0072153
1090	5	2.9975	0.834224	2.28655	0.939408	0.0324096	0.00375763	0.0244246	0.00679692
1100	4	2.98803	0.829436	2.17874	0.938086	0.0290807	0.00281426	0.0300188	0.00720058
1110	4	2.92138	0.820615	2.17651	0.935454	0.0336763	0.00140318	0.0294668	0.00729839
1120	5	3.0222	0.82535	2.15531	0.942063	0.0277909	0.00188413	0.0282619	0.00701213
1130	4	2.94247	0.824592	2.23281	0.933707	0.035014	0.00186741	0.0294118	0.00724634
1140	4	2.89311	0.81627	1.93372	0.935016	0.0359981	0.00233754	0.026648	0.00703013
1150	3	2.79024	0.814391	1.90894	0.931532	0.029809	0.00372613	0.0349325	0.00719757
1160	4	2.8177	0.81115	2.11218	0.925497	0.0411846	0.000925497	0.0323924	0.00711069
1170	5	2.77055	0.809208	2.01935	0.934579	0.0317757	0.00186916	0.0317757	0.00725529
1180	5	2.7666	0.803972	1.9489	0.926355	0.0301065	0.00231589	0.0412228	0.00724161
1190	4	2.69919	0.798056	1.92052	0.93985	0.0253759	0.00328947	0.031485	0.00739548
1200	4	2.75175	0.798302	1.92157	0.927644	0.0384972	0.00185529	0.0320037	0.00746683
1210	6	2.86087	0.795875	1.85474	0.925926	0.0337963	0.00416667	0.0361111	0.0070289
1220	5	2.94352	0.796301	1.9709	0.933271	0.0321979	0.00279981	0.0317312	0.00721861
1230	5	2.9671	0.792471	1.84479	0.930665	0.0349	0.002792	0.0316426	0.0072736
1240	6	3.03558	0.792574	1.99801	0.928505	0.0357474	0.00324977	0.0324977	0.0070566
1250	5	2.90098	0.786119	1.90836	0.929368	0.0320632	0.00464684	0.0339219	0.00720388
1260	5	2.98899	0.789046	1.98281	0.932836	0.0317164	0.00373134	0.0317164	0.00721511
1270	5	2.94542	0.786873	1.87978	0.928936	0.0311194	0.00325128	0.036693	0.0072119
1280	4	2.98705	0.78707	1.92676	0.933271	0.0265982	0.00373308	0.0363976	0.00726855
1290	4	3.27338	0.802103	1.90172	0.9298	0.0330079	0.0018596	0.0353324	0.00732031
1300	5	3.31078	0.794551	2.02908	0.933271	0.0317312	0.00233318	0.0326645	0.00705667
1310	6	3.27881	0.79049	1.85843	0.933271	0.0326645	0.00186654	0.0321979	0.00716081
1320	4	3.15373	0.780226	1.97984	0.9298	0.037192	0.0041841	0.0288238	0.00719876
1330	6	3.19836	0.786478	1.92942	0.935891	0.0322883	0.00467946	0.0271409	0.00717724
1340	6	3.14618	0.783128	1.90891	0.931099	0.0335196	0.0027933	0.0325885	0.00714719
1350	7	3.24513	0.787406	1.91204	0.934579	0.0285047	0.00046729	0.0364486	0.00713906
1360	4	3.16464	0.783162	1.92959	0.9298	0.0320781	0.0023245	0.0357973	0.00738958
1370	4	2.91867	0.79444	1.94709	0.931966	0.0321528	0.00232992	0.0335508	0.00721299
1380	4	2.85409	0.800465	2.18554	0.935016	0.029453	0.00140252	0.0341281	0.00753591
1390	4	2.77542	0.804363	1.90795	0.923361	0.0378578	0.00323176	0.0355494	0.00739727
1400	5	2.61817	0.8127	2.10419	0.943841	0.0226522	0.00424729	0.0292591	0.00736783
1410	5	2.61102	0.811137	1.90701	0.931099	0.0418994	0.0027933	0.0242086	0.00744169
1420	6	2.75537	0.813744	1.92889	0.931532	0.0353982	0.0041919	0.0288775	0.00753906
1430	4	3.07586	0.823617	1.94959	0.927214	0.0407974	0.00139082	0.0305981	0.00704546
1440	4	3.02218	0.828692	2.21279	0.931966	0.0354147	0.00186393	0.0307549	0.00707323
1450	6	3.28813	0.833506	1.99028	0.945626	0.0283688	0.000945626	0.0250591	0.00677259
1460	5	3.15407	0.85026	2.30716	0.939408	0.0291217	0.00281822	0.0286519	0.0070952
1470	6	3.15087	0.850092	2.18546	0.936768	0.0313817	0.00234192	0.0295082	0.00703877
1480	4	3.20667	0.840843	2.2561	0.943841	0.0259556	0.00188768	0.0283152	0.00694934
