Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
1560	6	2.30827	0.808851	1.71926	0.919118	0.0399816	0.00137868	0.0395221
1570	7	2.38111	0.805381	1.74473	0.91954	0.034023	0.00367816	0.0427586
1580	8	2.55983	0.804138	1.75549	0.919118	0.0363051	0.00321691	0.0413603
1590	7	2.88844	0.812672	1.83945	0.923788	0.0290993	0.00184758	0.0452656
1600	7	3.2555	0.820776	2.47096	0.928936	0.0329772	0.0013934	0.036693
1610	7	2.94866	0.813086	2.13935	0.929368	0.0348513	0.00418216	0.0315985
1620	7	2.84738	0.804458	1.93359	0.931966	0.026561	0.00326188	0.0382106
1630	8	2.74347	0.80696	1.83071	0.919963	0.0340386	0.00321987	0.0427783
1640	7	2.56546	0.804074	1.74332	0.931966	0.0307549	0.00232992	0.0349487
1650	7	2.54919	0.7971	1.76591	0.921659	0.0341014	0.00230415	0.0419355
1660	7	2.66565	0.793302	1.7768	0.92081	0.0359116	0.00230203	0.0409761
1670	7	2.87842	0.787593	1.79416	0.919118	0.0321691	0.00229779	0.0464154
1680	6	2.72899	0.800268	1.758	0.935454	0.0304022	0.00280636	0.0313377
1690	6	2.73471	0.790859	1.77285	0.908678	0.0340754	0.00136302	0.0558837
1700	6	2.46212	0.793599	1.75256	0.918695	0.0362885	0.00229674	0.0427193
1710	6	2.49518	0.791796	1.76973	0.919963	0.0354186	0.00275989	0.0418583
1720	6	2.49981	0.794978	1.78548	0.917852	0.0362552	0.00321248	0.0426801
1730	6	2.75377	0.793959	1.79256	0.924214	0.0328096	0.00184843	0.0411275
1740	6	2.82545	0.78509	1.77624	0.918274	0.0325987	0.000918274	0.0482094
1750	7	2.79066	0.773268	1.76098	0.914913	0.0343092	0.00137237	0.0494053
1760	8	2.82496	0.775629	1.77013	0.921234	0.0322432	0.0027637	0.0437586
1770	6	2.55886	0.77498	1.73701	0.919118	0.0335478	0.00183824	0.0454963
1780	6	2.35347	0.779707	1.88073	0.909918	0.0436761	0.00363967	0.0427662
1790	6	2.45943	0.765162	1.70575	0.922935	0.0313798	0.0013844	0.0443009
1800	8	2.5993	0.774176	1.73107	0.917852	0.0330427	0.00229463	0.0468105
1810	7	2.48453	0.771001	1.73699	0.913659	0.0319781	0.00182732	0.0525354
1820	7	2.55411	0.776112	1.7098	0.91617	0.0389372	0.00274851	0.0421438
1830	6	2.48227	0.783032	1.73264	0.927644	0.0278293	0.00231911	0.0422078
1840	8	2.56735	0.792974	1.73871	0.91659	0.0389551	0.00366636	0.0407883
1850	7	2.49047	0.795044	1.77243	0.928936	0.0301904	0.000928936	0.0399443
1860	8	2.31906	0.795058	1.71131	0.927214	0.0366249	0.00185443	0.0343069
1870	9	1.9624	0.80341	1.64	0.933707	0.0284781	0.00326797	0.0345472
1880	11	2.23357	0.805469	1.72559	0.91954	0.0354023	0.00229885	0.0427586
1890	8	2.25847	0.802387	1.7327	0.924642	0.0332871	0.00277393	0.0392973
1900	7	2.232	0.797205	1.71625	0.924642	0.0291262	0.00369857	0.0425335
1910	9	2.43042	0.794785	1.73241	0.923361	0.0364728	0.0023084	0.0378578
1920	5	2.35408	0.787977	1.73912	0.920387	0.0335941	0.00184077	0.0441786
1930	5	2.44067	0.78677	1.76646	0.918695	0.0307763	0.000459348	0.0500689
1940	5	2.79159	0.784755	1.72968	0.920387	0.0368155	0.00276116	0.0400368
1950	6	2.61294	0.783812	1.74363	0.921234	0.0340857	0.00184247	0.0428374
1960	6	2.97433	0.786955	1.7707	0.921234	0.0345463	0.00138185	0.0428374
1970	9	3.09472	0.792843	1.78719	0.917852	0.0357962	0.00229463	0.0440569
1980	8	3.08638	0.803132	1.78249	0.925069	0.0296022	0.00231267	0.0430157
1990	8	3.41724	0.80822	1.81075	0.9298	0.0344026	0.0018596	0.0339377
2000	9	4.03742	0.813003	1.87953	0.923788	0.0267898	0.00323326	0.0461894
2010	10	3.70744	0.798527	1.85156	0.922509	0.0295203	0.00138376	0.0465867
2020	8	3.73928	0.813096	1.8685	0.919118	0.03125	0.00367647	0.0459559
2030	8	4.02273	0.816821	1.88267	0.925926	0.0291667	0.00185185	0.0430556
2040	7	4.30374	0.822356	1.92214	0.920387	0.0354349	0.00322135	0.0409572
2050	9	4.59125	0.820777	1.91859	0.924214	0.0272643	0.00323475	0.0452865
2060	9	4.66885	0.819941	1.91564	0.911577	0.0332726	0.00227894	0.0528715
2070	8	4.27232	0.810722	1.8919	0.913659	0.0306076	0.000913659	0.0548196
2080	8	4.68535	0.815162	1.88193	0.922509	0.0244465	0.00369004	0.0493542
2090	8	4.71182	0.810497	1.88713	0.917852	0.0279945	0.00367141	0.0504819
2100	8	4.36264	0.819797	1.88214	0.926784	0.0273401	0.00231696	0.0435589
2110	8	3.46186	0.82536	1.88036	0.921234	0.031322	0.00460617	0.0428374
2120	8	3.37358	0.834891	1.85015	0.925497	0.0323924	0.00231374	0.0397964
2130	6	3.25622	0.82939	1.82075	0.931099	0.0251397	0.00418994	0.0395717
2140	7	3.42478	0.825818	1.8419	0.930233	0.0293023	0.000465116	0.04
2150	7	3.27537	0.824751	1.8257	0.926784	0.0329008	0.000926784	0.0393883
2160	7	3.33875	0.826671	1.82874	0.922935	0.0323027	0.0027688	0.0419935
2170	6	3.1547	0.824512	1.84992	0.926355	0.0338119	0.0041686	0.0356647
2180	6	3.41906	0.820908	1.81846	0.927214	0.0278164	0.00231803	0.0426518
2190	7	3.6518	0.826579	1.87477	0.919963	0.025759	0.00413983	0.050138
2200	6	3.74868	0.81894	1.86344	0.927644	0.0250464	0.00278293	0.0445269
2210	7	3.78999	0.819424	1.86628	0.926784	0.0333642	0.00185357	0.0379981
2220	7	3.55747	0.819981	1.82715	0.935016	0.0271155	0.00233754	0.0355306
2230	7	3.58486	0.81884	1.83176	0.924642	0.0351364	0.00462321	0.0355987
2240	6	3.12005	0.825468	1.84199	0.93633	0.0294944	0.00421348	0.0299625
2250	6	3.34503	0.818322	1.88817	0.940734	0.0253998	0.0028222	0.0310442
2260	5	2.91836	0.816446	1.91848	0.927214	0.0296708	0.00278164	0.0403338
2270	7	2.93432	0.812358	1.82694	0.924214	0.0281885	0.00462107	0.042976
2280	6	3.16306	0.802993	1.79452	0.923788	0.0332564	0.00369515	0.039261
2290	5	3.09611	0.802008	1.81311	0.922084	0.0322729	0.000922084	0.0447211
2300	6	2.9773	0.795155	1.78738	0.915751	0.0361722	0.0018315	0.0462454
2310	6	3.09515	0.790143	1.77458	0.917431	0.0362385	0.000917431	0.0454128
2320	7	3.5754	0.791384	1.84054	0.919963	0.0321987	0.000459982	0.0473781
2330	6	3.74259	0.788676	1.85988	0.925497	0.0296159	0.00185099	0.0430356
2340	7	3.60868	0.790708	1.8382	0.912409	0.0364964	0.00273723	0.0483577
2350	6	3.61496	0.790621	1.84868	0.914077	0.0347349	0.00228519	0.0489031
2360	6	3.47672	0.786167	1.83013	0.915332	0.0306636	0.00457666	0.0494279
2370	6	3.46573	0.782161	1.86589	0.915751	0.0320513	0.00320513	0.0489927
2380	5	3.30815	0.777512	1.79276	0.914495	0.0320073	0.000914495	0.0525834
2390	5	3.20803	0.774618	1.77226	0.922935	0.0378403	0.000461467	0.0387633
2400	8	2.98268	0.770846	1.79347	0.902527	0.0401625	0.00361011	0.0537004
2410	8	2.92566	0.765294	1.77137	0.921659	0.0327189	0.00138249	0.0442396
2420	7	2.94549	0.769292	1.77309	0.914077	0.0297075	0.00319927	0.0530165
2430	6	2.99326	0.767647	1.92621	0.912409	0.0355839	0.00547445	0.0465328
2440	7	2.88628	0.76891	1.776	0.913659	0.0351759	0.000913659	0.0502513
2450	7	3.22293	0.769115	1.79592	0.914913	0.0407136	0	0.0443733
2460	5	3.09899	0.759933	1.78162	0.894855	0.0353468	0.00447427	0.0653244
2470	5	3.28185	0.760913	1.78297	0.914913	0.037054	0.00182983	0.0462031
2480	5	3.12217	0.753113	1.73731	0.915332	0.0283753	0.00366133	0.0526316
2490	6	3.10985	0.756965	1.76137	0.912409	0.0406022	0.00182482	0.0451642
2500	5	3.19035	0.766848	1.73136	0.914077	0.0347349	0.00182815	0.0493601
2510	5	3.16489	0.773651	1.75504	0.917852	0.0289123	0.00321248	0.0500229
2520	6	3.0337	0.771429	1.73616	0.911993	0.0396717	0.00136799	0.0469676
2530	5	2.98507	0.773666	1.76657	0.921234	0.0340857	0.00322432	0.0414556
2540	6	2.73671	0.783768	1.71287	0.919963	0.0312787	0.00229991	0.0464581
2550	6	2.47959	0.80245	1.72907	0.924214	0.0318854	0.00231054	0.0415896
2560	5	2.35914	0.800611	1.73098	0.922084	0.0368834	0.00230521	0.0387275
2570	5	2.3773	0.802249	1.691	0.933271	0.0265982	0.00139991	0.0387308
2580	5	2.06433	0.811515	1.71757	0.919118	0.0399816	0.00229779	0.0386029
2590	5	2.15507	0.804125	1.69027	0.920387	0.0322135	0.00184077	0.0455591
2600	5	1.9101	0.806132	1.66796	0.927644	0.0357143	0.00231911	0.0343228
2610	7	2.12866	0.799591	1.66988	0.925926	0.0328704	0.00324074	0.037963
2620	6	1.89622	0.802325	1.6468	0.921659	0.0327189	0.00460829	0.0410138
2630	5	1.5979	0.80668	1.58239	0.914913	0.0434584	0.0032022	0.0384263
2640	6	1.69323	0.802227	1.584	0.931532	0.0330694	0.000931532	0.0344667
2650	7	1.7813	0.806275	1.62007	0.924214	0.0332717	0.00231054	0.0402033
2660	6	1.86326	0.809074	1.64505	0.921659	0.0428571	0.00322581	0.0322581
2670	6	1.92862	0.812374	1.67563	0.924214	0.038817	0.00323475	0.0337338
2680	4	1.96368	0.809169	1.65565	0.923788	0.0364896	0.00138568	0.0383372
2690	5	1.93706	0.808767	1.6728	0.913659	0.0383737	0.00502513	0.042942
2700	6	1.78268	0.79821	1.652	0.925069	0.0388529	0.000925069	0.0351526
2710	6	1.85083	0.796722	1.62697	0.918695	0.0381259	0.00321543	0.0399633
2720	7	1.79479	0.790499	1.61125	0.917431	0.0449541	0.00321101	0.0344037
2730	6	1.78614	0.780314	1.60263	0.911993	0.0369357	0.00364797	0.0474236
2740	8	1.84874	0.784492	1.61564	0.92081	0.0368324	0	0.0423573
2750	6	2.01964	0.785406	1.68428	0.915332	0.0416476	0.001373	0.0416476
2760	6	2.25414	0.793636	1.68657	0.91954	0.0298851	0.00413793	0.0464368
2770	5	2.44681	0.795786	1.74616	0.922509	0.0295203	0.00138376	0.0465867
2780	5	2.55567	0.799929	1.73095	0.925069	0.0277521	0.00231267	0.0448659
2790	5	2.56146	0.795848	1.74411	0.913659	0.0415715	0.00182732	0.042942
2800	6	2.56436	0.798249	1.75975	0.904977	0.041629	0.00452489	0.0488688
2810	7	2.65886	0.809955	1.76443	0.911993	0.0337437	0.00319197	0.0510716
2820	8	2.62574	0.814752	1.76962	0.915332	0.0338673	0.00320366	0.0475973
2830	7	2.70738	0.823363	1.77332	0.922084	0.0382665	0.000922084	0.0387275
2840	6	2.90027	0.817193	1.77615	0.921234	0.0354675	0.00138185	0.0419162
2850	7	2.78422	0.813559	1.76494	0.926355	0.0338119	0.00185271	0.0379805
2860	7	2.92432	0.826262	1.97763	0.92081	0.0336096	0.00138122	0.0441989
2870	8	3.07036	0.829449	1.80512	0.919963	0.0349586	0.00229991	0.0427783
2880	6	3.15279	0.831209	1.79676	0.931966	0.028891	0.00326188	0.0358807
2890	5	2.84458	0.82666	1.80395	0.918274	0.0367309	0.00137741	0.043618
2900	5	2.69061	0.831684	1.78048	0.919118	0.0358456	0.000919118	0.0441176
2910	6	2.73575	0.826849	1.77483	0.92081	0.0322284	0.00368324	0.0432781
2920	5	2.64729	0.822463	1.7639	0.91659	0.032539	0.00320807	0.0476627
2930	4	2.83481	0.825739	1.77779	0.92081	0.0322284	0.00138122	0.0455801
2940	6	2.93936	0.829619	1.73425	0.934579	0.0228972	0.00186916	0.0406542
2950	5	2.91197	0.829831	1.77582	0.926784	0.0305839	0.000926784	0.0417053
2960	3	2.77093	0.833536	1.84457	0.917011	0.0366804	0.00320954	0.0430995
2970	5	2.68281	0.829504	1.74403	0.920387	0.0363553	0.00230097	0.0409572
2980	5	2.62352	0.828035	1.75019	0.928074	0.0292343	0.00232019	0.0403712
2990	5	2.54298	0.824606	1.73076	0.920387	0.0368155	0.000920387	0.0418776
3000	3	2.43646	0.823826	1.74237	0.91617	0.0416858	0.00183234	0.0403115
3010	3	2.33965	0.820866	1.70452	0.91954	0.0326437	0.00321839	0.0445977
3020	4	2.19597	0.819122	1.6744	0.920387	0.0363553	0.00322135	0.0400368
3030	5	2.2115	0.81433	1.65707	0.924214	0.0360444	0.00138632	0.0383549
3040	5	2.30769	0.805602	1.70144	0.91617	0.0316079	0.00274851	0.0494732
3050	7	2.29477	0.798903	1.68982	0.914913	0.0365965	0.00274474	0.0457457
3060	8	2.37469	0.798235	1.69319	0.912825	0.0387951	0.0036513	0.0447284
3070	7	2.4129	0.799002	1.72823	0.918274	0.0399449	0.00367309	0.0381084
3080	6	2.33297	0.789191	1.66555	0.922935	0.0369174	0.00230734	0.0378403
3090	7	2.27507	0.785631	1.67229	0.912825	0.0392515	0.000456413	0.0474669
3100	8	2.03182	0.78476	1.64444	0.910332	0.0368685	0.00318616	0.0496131
3110	7	1.83962	0.774204	1.56054	0.914913	0.0365965	0.00365965	0.0448307
3120	5	1.72385	0.774371	1.63111	0.912409	0.0410584	0.00364964	0.0428832
3130	7	1.68281	0.763466	1.5124	0.920387	0.0358951	0.00322135	0.040497
3140	5	1.8139	0.764803	1.51125	0.922935	0.0318413	0.000922935	0.0443009
3150	5	1.73359	0.759045	1.53894	0.903342	0.0415537	0.00180668	0.0532972
3160	5	1.72834	0.752936	1.51701	0.910747	0.0459927	0.00227687	0.0409836
3170	5	1.65123	0.739826	1.49331	0.901713	0.0468891	0.00225428	0.0491434
3180	6	1.61338	0.737832	1.44539	0.914913	0.0365965	0.00365965	0.0448307
3190	5	1.46062	0.730226	1.43219	0.908265	0.0367847	0.00181653	0.0531335
3200	7	1.52153	0.731371	1.44617	0.911993	0.0460556	0.00182399	0.0401277
3210	6	1.56695	0.735321	1.45624	0.909918	0.0409463	0.000909918	0.0482257
3220	6	1.84446	0.747028	1.60576	0.901307	0.0387562	0.00405588	0.055881
3230	5	2.13151	0.755148	1.57429	0.914077	0.0365631	0.00228519	0.047075
3240	5	2.24061	0.757364	1.63474	0.910747	0.0409836	0.00364299	0.0446266
3250	5	2.55273	0.773938	1.67429	0.91659	0.0362053	0.00137489	0.0458295
3260	3	2.7613	0.783562	1.71895	0.908678	0.0363471	0.00363471	0.0513403
3270	3	2.90046	0.796254	1.70061	0.922084	0.0336561	0.00230521	0.0419548
3280	4	2.84998	0.803852	1.74051	0.921234	0.0409949	0.000460617	0.03731
3290	4	2.78662	0.817544	1.71125	0.931966	0.028425	0.000931966	0.0386766
3300	3	2.75669	0.8109	1.79196	0.918695	0.0335324	0.00321543	0.0445567
3310	3	2.71687	0.810947	1.74049	0.921659	0.0299539	0.00276498	0.0456221
3320	4	2.56119	0.81172	1.7127	0.929368	0.0288104	0.00325279	0.0385688
3330	3	2.49316	0.806064	1.75756	0.91617	0.0329821	0.00412277	0.0467247
3340	4	2.26085	0.814158	1.69285	0.924214	0.0360444	0.00138632	0.0383549
3350	3	1.85458	0.819155	1.64443	0.920387	0.0358951	0.00184077	0.0418776
3360	4	1.70902	0.817698	1.59262	0.930233	0.0334884	0.00418605	0.032093
3370	4	1.69317	0.813172	1.61655	0.918695	0.0390446	0.00183739	0.0404226
3380	4	1.89187	0.798756	1.62379	0.91954	0.0377011	0.0045977	0.0381609
3390	3	1.77439	0.80009	1.59266	0.925926	0.0342593	0.00231481	0.0375
3400	4	1.88466	0.792154	1.61523	0.923361	0.0337027	0.00277008	0.0401662
3410	5	1.85086	0.791804	1.61247	0.927644	0.0357143	0.0041744	0.0324675
3420	5	1.8942	0.791204	1.56966	0.927644	0.0403525	0.000463822	0.0315399
3430	4	1.81823	0.784994	1.63613	0.914495	0.0356653	0.00274348	0.0470965
3440	6	1.78768	0.778928	1.54614	0.920387	0.0455591	0.00138058	0.0326737
3450	5	1.8419	0.775135	1.6176	0.904159	0.0465642	0.00271248	0.0465642
3460	4	1.81145	0.764819	1.55283	0.921234	0.03731	0.0027637	0.0386918
3470	3	1.70497	0.758174	1.52603	0.910332	0.0455166	0.0013655	0.0427856
3480	3	1.54252	0.746353	1.48772	0.901713	0.0432822	0.00541028	0.0495942
3490	3	1.64455	0.742535	1.4837	0.909091	0.0381818	0.00363636	0.0490909
3500	3	1.65191	0.740373	1.4851	0.909918	0.0414013	0.00181984	0.0468608
3510	3	1.62562	0.737652	1.47269	0.911162	0.0460137	0.000911162	0.0419134
3520	4	1.65651	0.733298	1.48054	0.912409	0.0374088	0.000912409	0.0492701
